Unnamed: 0,Albania,United Arab Emirates,Armenia,Austria,Azerbaijan,Belgium,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia,Brazil,Botswana,Canada,Switzerland,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Spain,Estonia,Finland,Fiji,France,United Kingdom,Georgia,Ghana,Greece,Guatemala,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,"Korea, Rep.","Lao, PDR",Lebanon,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Mexico,North Macedonia,Malta,Montenegro,Mongolia,Mozambique,Mauritius,Malaysia,Namibia,Nigeria,Nicaragua,Netherlands,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,El Salvador,Serbia,Slovakia,Slovenia,Sweden,Thailand,Tajikistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China",Uganda,Uruguay,United States,Viet Nam,Kosovo,South Africa,Zambia
2014.0,1.615011,2.344652,2.998012,1.608728,1.431952,0.342517,6.981817,-1.413869,2.647288,-1.035382,18.09485,5.762411,6.325286,4.414549,1.899593,-0.012129,4.714369,2.052777,2.906114,4.517896,-1.361694,0.352438,0.91267,0.564068,3.006502,3.866673,3.592673,10.03441,-0.147935,-0.114236,1.042017,0.527727,0.506938,1.452837,3.074922,15.49588,-1.305016,3.418437,4.433934,6.125849,-0.208614,-0.219707,6.400151,6.504803,0.19084,2.035046,0.47638,0.242475,8.314388,2.901018,2.759469,6.57668,6.887065,7.534434,3.851516,1.273822,4.124066,1.153943,5.371825,0.112524,0.627728,0.64695,0.461431,5.08945,4.019369,-0.272624,0.314316,-0.697538,12.9632,2.547652,3.200511,3.142991,5.334627,8.042999,6.038969,0.978674,2.050747,1.022343,7.198135,2.640656,3.247501,3.584366,0.176822,-0.274784,5.027822,1.730071,3.318123,1.07175,7.832743,2.228838,1.026038,1.144475,2.096713,-0.066023,0.201854,-0.180172,1.89354,6.025509,5.689059,4.634857,8.846697,1.195166,4.29697,8.877533,1.615463,4.086743,0.41625,6.126805,7.820435
2015.0,1.892513,4.069323,3.692333,0.900819,4.030368,0.562269,6.186755,-0.097621,1.849586,-1.161545,13.47603,4.062369,9.023347,3.063562,1.111851,-1.142196,4.349057,1.538084,4.990644,0.796935,-2.095215,0.30939,0.611811,0.468815,0.844876,4.401301,3.967677,10.33745,-0.497544,-0.497857,-0.232868,1.391551,0.03835,0.377352,4.021677,17.12913,-1.735323,2.388058,2.971978,3.163869,-0.462898,-0.059549,6.358529,4.914424,-0.298137,1.629087,-0.629871,0.041705,3.668166,-0.873988,0.8039,6.750202,6.591168,6.498549,1.21973,0.706268,1.278199,-3.786063,3.220206,-0.873408,0.475604,0.158611,1.559927,9.696906,2.718686,-0.287445,1.098381,1.557211,6.794173,3.555726,1.316487,2.111932,3.414672,9.009619,3.989128,0.602809,2.179837,0.06529,2.549361,0.137772,3.548399,0.699429,-0.904557,0.490906,3.122044,1.429017,2.979706,-0.600496,15.51133,1.198128,-0.52276,-0.729138,1.396855,-0.315089,-0.523929,-0.047051,-0.898655,5.465607,4.659375,4.420851,7.655869,-0.30405,3.695057,8.661876,0.121137,0.645664,-0.522301,4.534494,10.11268
2016.0,1.289334,1.619222,-1.423675,0.901795,12.43446,1.978824,5.499499,-0.79345,2.786741,-1.550258,11.80268,3.624192,8.731033,2.824336,1.428854,-0.434298,3.789373,2.123115,7.507499,-0.017928,-1.426702,0.691897,0.458271,0.249979,1.625252,5.791018,1.729181,13.79979,-0.200459,0.148267,0.383461,3.879027,0.186674,0.988212,2.112927,17.42637,-0.823874,4.449961,2.428074,2.7186,-1.120955,0.406696,3.526169,4.948216,0.008306,1.695325,-0.541842,-0.075038,2.333205,-0.774606,-0.110291,14.56519,6.330532,0.395217,3.021682,0.971281,1.601404,-0.824813,6.595463,0.911394,0.294179,0.150025,1.621299,6.371886,2.819947,-0.231475,0.647952,-0.25,0.7601,17.45122,0.941833,2.075639,6.707724,15.688,3.520877,0.319183,3.55,1.117364,3.922783,0.739195,3.591181,1.233778,-0.643195,0.611671,4.100917,-0.214576,2.335337,-1.550397,7.031396,2.065419,-0.541843,0.605728,1.117599,-0.509814,-0.051669,0.982163,0.188205,6.028605,3.085912,3.608634,7.769879,1.39796,5.16993,9.629133,1.267361,2.676631,0.316693,6.570271,17.86209
2017.0,1.967242,1.960488,0.943014,2.073465,12.82677,2.125075,5.701204,2.065845,1.383063,0.804267,6.02341,2.824266,3.450095,3.260086,1.609971,0.534132,2.18318,1.520581,4.310056,1.625484,0.535148,2.467092,1.447495,1.138725,3.275164,5.904941,0.416416,29.49659,1.962222,3.412349,0.747384,3.346519,1.033115,2.579792,6.029017,12.3466,1.119825,4.423261,1.484927,3.934361,1.128605,2.353696,3.807252,3.321723,0.348837,1.768146,0.24511,1.226533,4.428114,3.325869,0.475624,7.458411,7.963627,3.176435,2.912357,1.944758,0.826745,4.435589,4.444342,3.72329,1.734969,2.921105,0.738937,6.579275,6.041747,1.355921,1.362006,2.372598,4.288519,15.07267,3.688985,3.799117,6.140046,16.50293,3.853653,1.384816,1.867053,1.5809,5.027504,0.880028,2.799157,2.852758,2.007005,1.372365,3.586851,0.213371,0.260996,1.352285,3.678991,-0.839931,0.574849,1.017858,3.121758,1.301563,1.430799,1.795101,0.668579,7.236561,1.891913,5.333012,11.15573,0.623278,5.573394,6.21561,2.131445,3.518749,1.478774,5.181134,6.575456
2018.0,2.016587,3.062956,2.50531,1.996323,2.320886,2.053893,5.533808,2.815265,2.090161,1.427732,4.871786,2.272853,3.675381,3.226932,2.27447,0.934543,2.317281,1.92511,3.239225,2.219693,1.428716,2.141068,1.772743,0.797173,3.561376,3.517041,-0.222242,14.41587,1.674949,3.431773,1.104517,4.072571,1.849153,2.283227,2.620629,7.802401,0.626931,3.746204,2.415161,4.35009,1.503571,2.836879,3.290612,3.951558,0.480053,2.67758,0.804337,1.153973,3.744136,4.459164,0.972105,6.007792,4.691024,1.526165,2.457617,1.477087,2.017688,6.047283,4.749277,2.692105,1.531412,2.539015,1.617071,3.038636,4.897168,1.456936,1.15592,2.595071,6.817281,3.919841,3.191135,0.976018,4.284591,12.10582,4.946185,1.702665,2.77295,0.881372,5.316041,0.763206,1.313843,5.327833,1.802169,0.995336,3.964608,-0.191292,0.113471,4.632376,2.894607,2.459163,0.449759,1.084821,1.955466,2.498862,1.736965,1.952054,1.067033,3.830369,1.01849,7.308133,16.37786,1.353733,2.541039,7.602968,2.439,3.539587,1.031519,4.512327,7.504171
2019.0,1.437618,-1.939986,1.442508,1.553781,2.719999,1.433656,5.585171,3.102677,1.007676,0.529933,5.605178,1.843298,3.738208,2.788104,1.936532,0.360871,2.2493,2.902117,3.522009,2.094679,0.253696,2.855561,1.410485,0.782715,1.811651,2.362327,0.266461,9.193063,0.701452,2.2856,1.019077,1.750644,1.109881,1.742188,4.839944,7.183675,0.254589,3.695967,2.891815,4.360503,0.773494,3.344696,2.818286,3.723276,0.930807,3.005049,0.840535,0.602999,3.887295,0.752437,0.485559,5.280464,5.856453,1.153335,1.944309,0.384523,3.286974,2.886421,5.182047,2.331511,1.745622,2.799464,0.23788,4.84397,3.634523,0.762017,1.645174,0.357938,7.319109,2.77826,0.476383,0.655896,3.706496,11.40773,5.380099,2.631282,2.152356,0.141677,9.369351,-0.352607,2.132833,2.383333,2.187464,0.339379,2.782324,1.556602,-0.890074,3.824954,4.475249,-2.093455,0.565234,0.071941,1.840728,2.679761,1.627317,1.787033,0.70916,7.781463,1.000465,6.703672,15.20484,0.556593,2.128467,7.880034,1.812894,2.791872,2.674013,4.11676,9.163149
2020.0,1.61127,-2.074554,1.460333,1.437025,2.834221,0.74002,5.684229,1.668885,-2.323894,-1.054279,5.541016,0.942719,3.211228,1.906954,0.710871,-0.725738,3.04333,2.487167,2.524621,0.730396,-0.636769,3.160809,0.544617,0.412588,3.792307,2.0987,-0.339064,5.056316,-0.32084,-0.442616,0.274393,-2.588014,0.475696,1.002398,5.205344,9.960593,-1.245108,3.211257,0.250941,3.478567,0.15726,3.318278,2.030247,6.611857,-0.342773,2.847572,-0.587654,-0.145796,5.683911,0.33247,-0.041656,6.760977,5.339418,6.31906,2.940444,0.539471,5.083276,83.84399,4.977971,1.194731,0.823049,0.199448,0.621931,3.754113,3.398231,1.189377,0.638814,-0.237774,3.716829,3.252852,2.515268,-1.131765,2.217107,13.25036,3.67966,1.271705,1.286779,-0.903875,9.47411,-1.547446,1.82716,2.384828,3.357781,-0.010993,1.767516,-0.710576,-2.579001,2.641736,3.391184,3.448217,-0.190074,-0.372045,1.575732,1.91291,-0.051679,0.498126,-0.845833,8.591006,0.583583,5.648926,12.31361,-0.242426,2.754802,9.755049,1.251279,3.213817,0.205193,3.213189,15.73942
2021.0,2.067248,-0.108214,7.474081,2.75,6.678424,2.440249,5.54834,3.301972,-0.60974,2.00616,9.45706,0.737442,8.304247,6.670431,3.40757,0.581674,4.523806,0.85255,3.501486,1.729665,2.436061,3.846727,3.066667,1.853045,8.248633,6.617264,0.134835,5.214038,3.087469,4.653832,2.229376,0.163265,1.642331,2.506113,9.591429,9.981302,1.21656,4.265719,1.560284,4.473255,2.551253,5.097223,1.560105,5.126534,2.366719,4.459267,1.489269,1.873783,5.861386,1.346907,-0.233372,8.002065,6.108445,11.91409,2.922149,2.500717,3.749061,153.9928,6.049785,4.684022,2.526623,3.27668,1.390696,5.11789,5.692986,3.229113,1.493741,2.399301,7.375615,6.412725,4.036999,2.462883,3.626882,16.9481,4.933462,2.675028,3.491828,1.538706,9.494786,1.631986,3.980253,3.93513,5.145586,1.265033,4.78016,1.240424,2.303742,5.050118,6.700117,3.067505,2.312786,3.471003,4.077316,3.159781,1.915505,2.164966,1.233769,8.923604,2.061226,5.70671,19.62795,1.965366,2.209124,7.751541,4.68256,1.830378,3.347247,4.614766,21.99565
2022.0,6.718725,4.82742,8.793632,8.564477,13.81298,9.597512,7.700449,15.33905,3.634489,14.03623,15.19845,1.745537,9.274569,12.15123,6.808285,2.834576,11.64533,1.878264,10.18431,8.271942,8.388853,15.08973,6.896831,7.680747,8.80962,9.671335,3.466385,13.88461,8.385948,19.38535,7.124862,4.363933,5.221585,7.920801,11.89636,31.9416,9.638472,6.881985,1.881367,9.096624,10.76982,14.61253,4.211086,6.705238,7.808,8.305013,4.392077,8.209252,10.37037,4.229396,2.506266,14.98566,7.657179,13.92964,5.342364,5.087701,22.82496,171.9382,8.274128,19.70045,6.329162,17.29429,6.665597,28.7483,7.898633,14.1925,6.149274,13.04989,15.14281,10.29691,10.7821,3.378699,6.079149,18.84106,10.47019,9.997056,5.764537,2.827683,19.84522,2.855611,7.878742,5.820713,14.42087,7.822767,9.773762,3.736083,4.998988,13.80184,13.74239,2.473256,6.120551,7.194415,11.99187,12.77316,8.822267,8.362957,6.073738,6.582933,5.819433,8.312929,72.39529,2.941642,7.188366,9.10768,7.986482,3.155519,11.5836,7.041856,10.98427
2023.0,4.368902,,1.86544,7.467503,8.856642,3.863832,8.700175,8.946309,-0.115243,5.806021,3.927597,2.382517,4.263609,4.467817,3.435991,2.059446,7.229545,0.370025,11.0225,0.568712,3.456992,10.38922,5.740867,3.277749,4.25262,8.700637,2.074863,31.57902,3.353015,8.942374,5.925871,1.434048,4.69656,6.416456,2.223404,35.40085,3.20169,5.872835,1.722979,6.211665,7.345976,16.97107,3.41812,5.151046,6.028495,8.168073,3.865985,5.598234,5.439179,1.919796,2.852486,13.70609,7.090677,10.24996,1.538219,3.34099,28.93998,193.7023,5.254807,9.076712,3.496644,9.13986,5.89061,13.15303,5.103158,9.102588,4.809818,7.784869,9.743175,6.663542,6.753724,2.322941,5.372796,20.2711,7.996066,3.732987,5.143555,0.89132,28.65954,1.251873,6.127236,5.671124,11.10015,4.191261,4.418446,3.650313,2.582316,9.79617,5.038048,2.176724,4.358275,3.948599,11.92484,10.23728,7.254809,7.961491,1.292176,2.130979,4.549846,8.65303,46.5471,2.255142,5.033435,5.399395,3.745207,2.851464,4.592269,5.26187,9.720452
