date,CPI,country,PriceBasket,HHI_titles,ExclusivityShare,GoogleTrends_torrent,GoogleTrends_watch_free,Lumen_DMCA_count,PiracyIndex,Income,PriceIncome,PlatformCount,event_price_hike,event_dns_block,event_major_release,PiracyIndex_lag1,PiracyIndex_lag2,PiracyIndex_lag3,PriceBasket_lag1,PriceBasket_lag2,PriceBasket_lag3,rolling_mean_3,month_sin,month_cos,FragmentationIndex,month
2014-07-01,106.1934,Albania,7.99,0.3750733052692698,0.8987951807228916,,,,0.47483583025561055,,,,,,,0.47483583025561055,0.47483583025561055,0.47483583025561055,7.99,7.99,7.99,0.47483583025561055,-0.4999999999999997,-0.8660254037844388,0.846054602305407,7
2014-08-01,106.1934,Albania,7.99,0.3750733052692698,0.8987951807228916,,,,0.47483583025561055,,,,,,,0.47483583025561055,0.47483583025561055,0.47483583025561055,7.99,7.99,7.99,0.47483583025561055,-0.8660254037844385,-0.5000000000000004,0.846054602305407,8
2014-09-01,106.1934,Albania,7.99,0.3750733052692698,0.8987951807228916,,,,0.47483583025561055,,,,,,,0.47483583025561055,0.47483583025561055,0.47483583025561055,7.99,7.99,7.99,0.47483583025561055,-1.0,-1.8369701987210297e-16,0.846054602305407,9
2014-10-01,106.1934,Albania,17.98,0.3750733052692698,0.8987951807228916,,,,0.5415108871184521,,,,,,,0.47483583025561055,0.47483583025561055,0.47483583025561055,7.99,7.99,7.99,0.4970608492098911,-0.8660254037844386,0.5000000000000001,0.846054602305407,10
2014-11-01,106.1934,Albania,17.98,0.3750733052692698,0.8987951807228916,,,,0.5415108871184521,,,,,,,0.5415108871184521,0.47483583025561055,0.47483583025561055,17.98,7.99,7.99,0.5192858681641717,-0.5000000000000004,0.8660254037844384,0.846054602305407,11
2014-12-01,106.1934,Albania,17.98,0.3750733052692698,0.8987951807228916,,,,0.5415108871184521,,,,,,,0.5415108871184521,0.5415108871184521,0.47483583025561055,17.98,17.98,7.99,0.5415108871184521,-2.4492935982947064e-16,1.0,0.846054602305407,12
2015-01-01,106.0253,Albania,17.98,0.3876217289958603,0.9535962877030162,,,,0.4043902637295977,,,,,,,0.5415108871184521,0.5415108871184521,0.5415108871184521,17.98,17.98,17.98,0.4958040126555006,0.49999999999999994,0.8660254037844387,0.8290659671293306,1
2015-02-01,106.0253,Albania,17.98,0.3876217289958603,0.9535962877030162,,,,0.4043902637295977,,,,,,,0.4043902637295977,0.5415108871184521,0.5415108871184521,17.98,17.98,17.98,0.45009713819254915,0.8660254037844386,0.5000000000000001,0.8290659671293306,2
2015-03-01,106.0253,Albania,17.98,0.3876217289958603,0.9535962877030162,,,,0.4043902637295977,,,,,,,0.4043902637295977,0.4043902637295977,0.5415108871184521,17.98,17.98,17.98,0.4043902637295977,1.0,6.123233995736766e-17,0.8290659671293306,3
2015-04-01,106.0253,Albania,17.98,0.3876217289958603,0.9535962877030162,,,,0.4043902637295977,,,,,,,0.4043902637295977,0.4043902637295977,0.4043902637295977,17.98,17.98,17.98,0.4043902637295977,0.8660254037844387,-0.4999999999999998,0.8290659671293306,4
2015-05-01,106.0253,Albania,17.98,0.3876217289958603,0.9535962877030162,,,,0.4043902637295977,,,,,,,0.4043902637295977,0.4043902637295977,0.4043902637295977,17.98,17.98,17.98,0.4043902637295977,0.49999999999999994,-0.8660254037844387,0.8290659671293306,5
2015-06-01,106.0253,Albania,17.98,0.3876217289958603,0.9535962877030162,,,,0.4043902637295977,,,,,,,0.4043902637295977,0.4043902637295977,0.4043902637295977,17.98,17.98,17.98,0.4043902637295977,1.2246467991473532e-16,-1.0,0.8290659671293306,6
2015-07-01,106.0253,Albania,17.98,0.3876217289958603,0.9535962877030162,,,,0.4043902637295977,,,,,,,0.4043902637295977,0.4043902637295977,0.4043902637295977,17.98,17.98,17.98,0.4043902637295977,-0.4999999999999997,-0.8660254037844388,0.8290659671293306,7
2015-08-01,106.0253,Albania,17.98,0.3876217289958603,0.9535962877030162,,,,0.4043902637295977,,,,,,,0.4043902637295977,0.4043902637295977,0.4043902637295977,17.98,17.98,17.98,0.4043902637295977,-0.8660254037844385,-0.5000000000000004,0.8290659671293306,8
2015-09-01,106.0253,Albania,17.98,0.3876217289958603,0.9535962877030162,,,,0.4043902637295977,,,,,,,0.4043902637295977,0.4043902637295977,0.4043902637295977,17.98,17.98,17.98,0.4043902637295977,-1.0,-1.8369701987210297e-16,0.8290659671293306,9
2015-10-01,106.0253,Albania,29.97,0.3876217289958603,0.9535962877030162,,,,0.4844136803247399,,,,,,,0.4043902637295977,0.4043902637295977,0.4043902637295977,17.98,17.98,17.98,0.4310647359279784,-0.8660254037844386,0.5000000000000001,0.8290659671293306,10
2015-11-01,106.0253,Albania,29.97,0.3876217289958603,0.9535962877030162,,,,0.4844136803247399,,,,,,,0.4844136803247399,0.4043902637295977,0.4043902637295977,29.97,17.98,17.98,0.45773920812635915,-0.5000000000000004,0.8660254037844384,0.8290659671293306,11
2015-12-01,106.0253,Albania,29.97,0.3876217289958603,0.9535962877030162,,,,0.4844136803247399,,,,,,,0.4844136803247399,0.4844136803247399,0.4043902637295977,29.97,29.97,17.98,0.4844136803247399,-2.4492935982947064e-16,1.0,0.8290659671293306,12
2016-01-01,106.1851,Albania,29.97,0.3846877869605142,0.9515151515151516,,,,0.5178625434872157,,,,,,,0.4844136803247399,0.4844136803247399,0.4844136803247399,29.97,29.97,29.97,0.4955633013788985,0.49999999999999994,0.8660254037844387,0.8330380732641138,1
2016-02-01,106.1851,Albania,29.97,0.3846877869605142,0.9515151515151516,,,,0.5178625434872157,,,,,,,0.5178625434872157,0.4844136803247399,0.4844136803247399,29.97,29.97,29.97,0.5067129224330572,0.8660254037844386,0.5000000000000001,0.8330380732641138,2
2016-03-01,106.1851,Albania,29.97,0.3846877869605142,0.9515151515151516,,,,0.5178625434872157,,,,,,,0.5178625434872157,0.5178625434872157,0.4844136803247399,29.97,29.97,29.97,0.5178625434872157,1.0,6.123233995736766e-17,0.8330380732641138,3
2016-04-01,106.1851,Albania,38.96,0.3846877869605142,0.9515151515151516,,,,0.5778634204839069,,,,,,,0.5178625434872157,0.5178625434872157,0.5178625434872157,29.97,29.97,29.97,0.537862835819446,0.8660254037844387,-0.4999999999999998,0.8330380732641138,4
2016-05-01,106.1851,Albania,38.96,0.3846877869605142,0.9515151515151516,,,,0.5778634204839069,,,,,,,0.5778634204839069,0.5178625434872157,0.5178625434872157,38.96,29.97,29.97,0.5578631281516766,0.49999999999999994,-0.8660254037844387,0.8330380732641138,5
2016-06-01,106.1851,Albania,38.96,0.3846877869605142,0.9515151515151516,,,,0.5778634204839069,,,,,,,0.5778634204839069,0.5778634204839069,0.5178625434872157,38.96,38.96,29.97,0.5778634204839069,1.2246467991473532e-16,-1.0,0.8330380732641138,6
