date,CPI,country,PriceBasket,HHI_titles,ExclusivityShare,GoogleTrends_torrent,GoogleTrends_watch_free,Lumen_DMCA_count,PiracyIndex,Income,PriceIncome,PlatformCount,event_price_hike,event_dns_block,event_major_release,PiracyIndex_lag1,PiracyIndex_lag2,PiracyIndex_lag3,PriceBasket_lag1,PriceBasket_lag2,PriceBasket_lag3,rolling_mean_3,month_sin,month_cos,FragmentationIndex
1933-02-01,,Albania,,0.53125,1.0,,,,,,,,,,,,,,,,,,,,
1933-03-01,,Albania,,0.53125,1.0,,,,,,,,,,,,,,,,,,,,
1933-04-01,,Albania,,0.53125,1.0,,,,,,,,,,,,,,,,,,,,
1933-05-01,,Albania,,0.53125,1.0,,,,,,,,,,,,,,,,,,,,
1933-06-01,,Albania,,0.53125,1.0,,,,,,,,,,,,,,,,,,,,
1933-07-01,,Albania,,0.53125,1.0,,,,,,,,,,,,,,,,,,,,
1933-08-01,,Albania,,0.53125,1.0,,,,,,,,,,,,,,,,,,,,
1933-09-01,,Albania,,0.53125,1.0,,,,,,,,,,,,,,,,,,,,
1933-10-01,,Albania,,0.53125,1.0,,,,,,,,,,,,,,,,,,,,
1933-11-01,,Albania,,0.53125,1.0,,,,,,,,,,,,,,,,,,,,
1933-12-01,,Albania,,0.53125,1.0,,,,,,,,,,,,,,,,,,,,
1934-01-01,,Albania,,0.6121883656509695,0.8947368421052632,,,,,,,,,,,,,,,,,,,,
1934-02-01,,Albania,,0.6121883656509695,0.8947368421052632,,,,,,,,,,,,,,,,,,,,
1934-03-01,,Albania,,0.6121883656509695,0.8947368421052632,,,,,,,,,,,,,,,,,,,,
1934-04-01,,Albania,,0.6121883656509695,0.8947368421052632,,,,,,,,,,,,,,,,,,,,
1934-05-01,,Albania,,0.6121883656509695,0.8947368421052632,,,,,,,,,,,,,,,,,,,,
1934-06-01,,Albania,,0.6121883656509695,0.8947368421052632,,,,,,,,,,,,,,,,,,,,
1934-07-01,,Albania,,0.6121883656509695,0.8947368421052632,,,,,,,,,,,,,,,,,,,,
1934-08-01,,Albania,,0.6121883656509695,0.8947368421052632,,,,,,,,,,,,,,,,,,,,
1934-09-01,,Albania,,0.6121883656509695,0.8947368421052632,,,,,,,,,,,,,,,,,,,,
1934-10-01,,Albania,,0.6121883656509695,0.8947368421052632,,,,,,,,,,,,,,,,,,,,
1934-11-01,,Albania,,0.6121883656509695,0.8947368421052632,,,,,,,,,,,,,,,,,,,,
1934-12-01,,Albania,,0.6121883656509695,0.8947368421052632,,,,,,,,,,,,,,,,,,,,
1935-01-01,,Albania,,0.6675900277008311,1.0,,,,,,,,,,,,,,,,,,,,
1935-02-01,,Albania,,0.6675900277008311,1.0,,,,,,,,,,,,,,,,,,,,
1935-03-01,,Albania,,0.6675900277008311,1.0,,,,,,,,,,,,,,,,,,,,
1935-04-01,,Albania,,0.6675900277008311,1.0,,,,,,,,,,,,,,,,,,,,
1935-05-01,,Albania,,0.6675900277008311,1.0,,,,,,,,,,,,,,,,,,,,
1935-06-01,,Albania,,0.6675900277008311,1.0,,,,,,,,,,,,,,,,,,,,
1935-07-01,,Albania,,0.6675900277008311,1.0,,,,,,,,,,,,,,,,,,,,
1935-08-01,,Albania,,0.6675900277008311,1.0,,,,,,,,,,,,,,,,,,,,
1935-09-01,,Albania,,0.6675900277008311,1.0,,,,,,,,,,,,,,,,,,,,
1935-10-01,,Albania,,0.6675900277008311,1.0,,,,,,,,,,,,,,,,,,,,
1935-11-01,,Albania,,0.6675900277008311,1.0,,,,,,,,,,,,,,,,,,,,
1935-12-01,,Albania,,0.6675900277008311,1.0,,,,,,,,,,,,,,,,,,,,
1936-01-01,,Albania,,0.687825182101977,1.0,,,,,,,,,,,,,,,,,,,,
1936-02-01,,Albania,,0.687825182101977,1.0,,,,,,,,,,,,,,,,,,,,
1936-03-01,,Albania,,0.687825182101977,1.0,,,,,,,,,,,,,,,,,,,,
1936-04-01,,Albania,,0.687825182101977,1.0,,,,,,,,,,,,,,,,,,,,
1936-05-01,,Albania,,0.687825182101977,1.0,,,,,,,,,,,,,,,,,,,,
1936-06-01,,Albania,,0.687825182101977,1.0,,,,,,,,,,,,,,,,,,,,
1936-07-01,,Albania,,0.687825182101977,1.0,,,,,,,,,,,,,,,,,,,,
1936-08-01,,Albania,,0.687825182101977,1.0,,,,,,,,,,,,,,,,,,,,
1936-09-01,,Albania,,0.687825182101977,1.0,,,,,,,,,,,,,,,,,,,,
1936-10-01,,Albania,,0.687825182101977,1.0,,,,,,,,,,,,,,,,,,,,
1936-11-01,,Albania,,0.687825182101977,1.0,,,,,,,,,,,,,,,,,,,,
1936-12-01,,Albania,,0.687825182101977,1.0,,,,,,,,,,,,,,,,,,,,
1937-01-01,,Albania,,0.6449704142011835,1.0,,,,,,,,,,,,,,,,,,,,
1937-02-01,,Albania,,0.6449704142011835,1.0,,,,,,,,,,,,,,,,,,,,
1937-03-01,,Albania,,0.6449704142011835,1.0,,,,,,,,,,,,,,,,,,,,
1937-04-01,,Albania,,0.6449704142011835,1.0,,,,,,,,,,,,,,,,,,,,
1937-05-01,,Albania,,0.6449704142011835,1.0,,,,,,,,,,,,,,,,,,,,
1937-06-01,,Albania,,0.6449704142011835,1.0,,,,,,,,,,,,,,,,,,,,
1937-07-01,,Albania,,0.6449704142011835,1.0,,,,,,,,,,,,,,,,,,,,
1937-08-01,,Albania,,0.6449704142011835,1.0,,,,,,,,,,,,,,,,,,,,
1937-09-01,,Albania,,0.6449704142011835,1.0,,,,,,,,,,,,,,,,,,,,
1937-10-01,,Albania,,0.6449704142011835,1.0,,,,,,,,,,,,,,,,,,,,
1937-11-01,,Albania,,0.6449704142011835,1.0,,,,,,,,,,,,,,,,,,,,
1937-12-01,,Albania,,0.6449704142011835,1.0,,,,,,,,,,,,,,,,,,,,
1938-01-01,,Albania,,0.625,1.0,,,,,,,,,,,,,,,,,,,,
1938-02-01,,Albania,,0.625,1.0,,,,,,,,,,,,,,,,,,,,
1938-03-01,,Albania,,0.625,1.0,,,,,,,,,,,,,,,,,,,,
1938-04-01,,Albania,,0.625,1.0,,,,,,,,,,,,,,,,,,,,
1938-05-01,,Albania,,0.625,1.0,,,,,,,,,,,,,,,,,,,,
1938-06-01,,Albania,,0.625,1.0,,,,,,,,,,,,,,,,,,,,
1938-07-01,,Albania,,0.625,1.0,,,,,,,,,,,,,,,,,,,,
1938-08-01,,Albania,,0.625,1.0,,,,,,,,,,,,,,,,,,,,
1938-09-01,,Albania,,0.625,1.0,,,,,,,,,,,,,,,,,,,,
1938-10-01,,Albania,,0.625,1.0,,,,,,,,,,,,,,,,,,,,
1938-11-01,,Albania,,0.625,1.0,,,,,,,,,,,,,,,,,,,,
1938-12-01,,Albania,,0.625,1.0,,,,,,,,,,,,,,,,,,,,
1939-01-01,,Albania,,0.6033057851239669,0.9090909090909091,,,,,,,,,,,,,,,,,,,,
1939-02-01,,Albania,,0.6033057851239669,0.9090909090909091,,,,,,,,,,,,,,,,,,,,
1939-03-01,,Albania,,0.6033057851239669,0.9090909090909091,,,,,,,,,,,,,,,,,,,,
1939-04-01,,Albania,,0.6033057851239669,0.9090909090909091,,,,,,,,,,,,,,,,,,,,
1939-05-01,,Albania,,0.6033057851239669,0.9090909090909091,,,,,,,,,,,,,,,,,,,,
1939-06-01,,Albania,,0.6033057851239669,0.9090909090909091,,,,,,,,,,,,,,,,,,,,
1939-07-01,,Albania,,0.6033057851239669,0.9090909090909091,,,,,,,,,,,,,,,,,,,,
1939-08-01,,Albania,,0.6033057851239669,0.9090909090909091,,,,,,,,,,,,,,,,,,,,
1939-09-01,,Albania,,0.6033057851239669,0.9090909090909091,,,,,,,,,,,,,,,,,,,,
1939-10-01,,Albania,,0.6033057851239669,0.9090909090909091,,,,,,,,,,,,,,,,,,,,
1939-11-01,,Albania,,0.6033057851239669,0.9090909090909091,,,,,,,,,,,,,,,,,,,,
1939-12-01,,Albania,,0.6033057851239669,0.9090909090909091,,,,,,,,,,,,,,,,,,,,
1940-01-01,,Albania,,0.5246913580246914,1.0,,,,,,,,,,,,,,,,,,,,
1940-02-01,,Albania,,0.5246913580246914,1.0,,,,,,,,,,,,,,,,,,,,
