Unnamed: 0,Albania,Advanced Economies,Armenia,Australia,Austria,Burundi,Belgium,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Botswana,Canada,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,Gabon,United Kingdom,Georgia,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Lebanon,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Maldives,Mexico,Middle-Income Countries (MIC),North Macedonia,Myanmar,Mongolia,EMDE Middle East & N. Africa,Mauritius,Malawi,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,El Salvador,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Seychelles,Thailand,Tunisia,Turkey,"Taiwan, China","Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),Samoa,South Africa,Zambia
2011.0,0.46088,0.344826,0.465255,0.183337,0.062745,0.391038,0.039138,0.253959,0.531729,0.000541,0.390443,0.13304,0.285142,1.522333,1.544382,1.104445,0.14239,1.149193,1.842643,0.627573,0.343997,,0.264217,0.057858,0.148911,0.851715,0.237272,3.882333,1.484602,0.751517,0.292159,0.499031,0.091693,0.011894,0.094249,0.075188,,0.145698,0.400496,0.021539,0.351936,0.242264,0.589578,0.247378,0.628056,0.480945,0.621528,0.638622,0.019083,1.745664,1.028705,0.095403,0.305706,1.012737,1.471212,0.801753,0.409046,0.435112,0.584213,1.034283,0.751893,1.684247,,0.354325,0.258472,0.034413,0.393768,0.462074,0.379479,0.250209,0.406085,1.148087,0.385353,0.787635,0.376898,0.148885,0.526707,0.080623,0.711564,0.499685,0.364179,0.039397,0.545613,0.458616,0.609106,0.387665,0.203225,1.314342,1.245162,0.462864,0.031742,0.298963,,0.147758,1.567598,0.59125,4.179665,0.820002,0.251336,0.77988,0.031779,0.032056,0.249877,0.249625,0.763573,0.317612,0.366583,1.350445,,0.517674,0.385655,0.958611,0.068358,0.23059,0.127036,0.430051,0.403002,0.475876,0.32342
2012.0,0.530965,0.377456,0.421234,0.179496,0.0748,0.405888,0.043159,0.373401,0.626241,0.000606,0.43608,0.126435,0.341999,1.627641,1.653065,0.942531,0.143913,1.159006,1.827101,0.66815,0.45999,,0.317866,0.063297,0.164501,0.944169,0.201415,3.816026,1.469398,0.811599,0.207235,0.518315,0.110295,0.01652,0.111311,0.088963,,0.155134,0.356415,0.023683,0.372833,0.263985,0.627694,0.219528,0.689171,0.472762,0.588129,0.603477,0.019345,0.857926,1.051347,0.111634,0.178115,0.699315,1.385279,0.609539,0.439042,0.372854,0.628675,1.065497,0.796379,1.692992,,0.382488,0.266667,0.036132,0.442456,0.378788,0.480979,0.204477,0.440672,1.163944,0.441488,0.757224,0.606463,0.164262,0.559729,0.086971,0.709444,0.755457,0.322746,0.0433,0.594484,0.459262,0.513731,0.305874,0.19556,1.562439,1.349562,0.547264,0.039344,0.314157,,0.147131,1.600268,0.568538,4.237455,0.812419,0.309558,0.89616,0.033271,0.033272,0.277614,0.250044,0.724392,0.351215,0.503169,1.467372,,0.602397,0.289679,1.161655,0.06725,0.192515,0.223782,0.45666,0.413636,0.486718,0.349597
2013.0,0.568676,0.388953,0.513205,0.214232,0.074563,0.404144,0.041227,0.48174,0.579082,0.000536,0.479528,0.116284,0.443481,1.550218,1.484798,0.922343,0.151781,1.038988,1.956201,0.771347,0.486001,,0.389261,0.061856,0.165791,0.884236,0.279453,3.555653,1.552804,0.774006,0.256784,0.50125,0.107819,0.016948,0.121726,0.083167,,0.161422,0.353264,0.026485,0.400564,0.255215,0.595206,0.272489,0.781134,0.468333,0.532077,0.632019,0.019091,0.828465,1.150253,0.114618,0.167825,0.978722,1.487694,0.505635,0.517424,0.369667,0.672268,1.008363,0.779,1.687251,,0.415909,0.23156,0.03678,0.453082,0.412963,0.512084,0.219539,0.46285,1.211876,0.412502,0.697851,0.353433,0.150979,0.637887,0.145892,0.654921,0.76721,0.35184,0.043251,0.647821,0.412119,0.46237,0.161273,0.21878,1.551988,1.334232,0.511524,0.045426,0.375385,5.189453,0.147752,1.48826,0.587947,4.321172,0.881146,0.255473,0.896076,0.027017,0.03115,0.377483,0.307595,0.670299,0.313286,0.520934,1.512345,,0.678257,0.265237,1.397488,0.065079,0.146533,0.196617,0.454278,0.395621,0.478971,0.266264
2014.0,0.506402,0.38371,0.337222,0.223111,0.084501,0.410537,0.03745,0.5356,0.576316,0.000498,0.447089,0.086157,0.507023,1.437697,1.57254,1.033078,0.157021,0.961758,1.974525,0.775598,0.464,0.046598,0.352853,0.056016,0.171396,0.735214,0.281704,3.07146,1.561371,0.674957,0.20795,0.433806,0.113607,0.024184,0.115151,0.081705,,0.163242,0.314023,0.033225,0.387241,0.228585,0.604038,0.310139,0.647208,0.404352,0.627662,0.693639,0.018537,0.765579,1.205224,0.109052,0.34223,1.077443,1.515924,0.705068,0.530169,0.343054,0.692253,1.04058,0.801792,1.866188,,0.422846,0.253929,0.032311,0.17378,0.443629,0.404672,0.314834,0.483266,1.197687,0.410162,0.257733,0.314764,0.11857,0.692473,0.214527,0.555302,0.575354,0.387695,0.037483,0.723934,0.373039,0.558148,0.300288,0.293954,1.519718,1.218184,0.449149,0.070079,0.462188,3.480199,0.125884,1.243202,0.651566,4.213674,0.894689,0.256103,0.822441,0.033558,0.034316,0.356708,0.363681,0.689778,0.309183,0.524924,1.49969,,0.647133,0.136962,1.533176,0.056178,,0.23102,0.413076,0.264187,0.492102,0.319632
2015.0,0.722015,0.445697,0.548214,0.215141,0.088506,0.187322,0.044439,0.695909,0.752824,0.000273,0.53261,0.092818,0.438509,1.335375,2.054665,1.04172,0.185567,0.936483,2.020229,0.903719,0.531699,0.04949,0.455676,0.060508,0.202514,0.739569,0.311627,2.800751,1.575031,0.800757,0.221224,0.401607,0.147068,0.028549,0.139044,0.106709,,0.2223,0.343396,0.050518,0.426903,0.23692,0.686259,0.333843,0.697904,0.364588,0.741908,0.890979,0.0259,0.936364,1.480662,0.123836,0.483454,1.2446,1.863438,0.898281,0.608541,0.430009,0.843476,0.91751,0.843207,2.101105,,0.385359,0.059996,0.035693,0.228785,0.597609,0.438254,0.303284,0.447258,1.261804,0.383594,0.258447,0.34739,0.097563,0.872018,,0.54104,0.505851,0.422224,0.042178,0.751894,0.40147,0.604298,0.441399,0.278519,1.647624,1.135375,0.482023,0.104049,0.473393,3.104585,0.122782,1.902105,0.83253,3.531221,1.132621,0.270701,0.843237,0.040226,0.033113,0.390112,0.370129,0.775162,0.366749,0.53255,1.816072,,0.610098,0.351961,1.643297,0.053043,,0.170697,0.416858,0.336256,0.534698,0.353173
2016.0,0.665134,0.469673,0.677933,0.269237,0.088896,0.128838,0.040672,0.780793,0.871124,0.000212,0.561571,0.119143,0.395228,1.19461,2.616916,1.170849,0.200232,1.088761,1.931173,1.088784,0.497557,0.0413,0.598794,0.061177,0.342234,0.73498,0.347875,2.434111,1.514808,0.840005,0.356328,0.408216,0.175511,0.02355,0.143378,0.108479,,0.20911,0.376609,0.061182,0.523409,0.252147,0.749029,0.359329,0.631711,0.279751,0.85826,0.993772,0.041216,1.259736,1.465408,0.11921,0.560615,1.247255,1.957716,1.170137,0.678044,0.492684,0.913636,1.011528,0.922393,2.298222,,0.313859,0.095135,0.045823,0.238749,0.601554,0.549817,0.224759,0.45579,1.269256,0.403151,0.295692,0.387205,0.095034,1.043952,,0.560738,0.743482,0.415877,0.033339,0.805637,0.494279,0.876712,0.467538,0.329035,1.759338,0.960406,0.574,0.168745,0.624141,3.23222,0.118483,1.983615,0.911883,3.828984,1.211068,0.329419,1.016161,0.039419,0.027826,0.389386,,0.880722,0.308994,0.533296,1.910715,,0.642718,0.397083,1.65308,0.054233,,0.209491,0.430206,0.253545,0.630115,
2017.0,0.683551,0.470883,0.608242,0.288493,0.061947,,0.041615,0.705871,0.829949,,0.609628,0.161631,0.341609,1.104201,2.353772,1.404782,0.195526,1.00144,1.708869,1.081962,0.44954,0.035647,0.906066,0.055264,0.357739,0.786234,0.382444,,1.361523,0.775477,0.555572,0.376651,0.170388,0.020462,0.12086,0.097721,,0.223771,0.378012,0.061253,,0.24343,0.770415,,0.744469,0.267444,0.829193,0.910052,0.044661,0.934789,1.660608,0.116493,0.579806,1.183397,1.835186,1.045956,0.577661,,0.812912,,0.851898,,,0.379824,0.13832,0.036741,,0.57488,0.58165,0.25296,0.41135,1.163392,0.358773,,0.693817,,1.115319,,0.525689,,0.451891,0.028459,0.796954,0.516154,,0.317536,0.213195,1.648282,0.849808,0.483443,0.137662,0.586699,3.980477,0.111198,1.821505,0.831044,3.693456,1.134843,0.337711,,0.044747,0.028199,0.370566,,0.904749,0.268584,0.460756,,,0.663264,0.380151,1.895758,0.053545,,0.229962,0.409593,0.350737,0.608568,
2018.0,0.653837,0.431299,,0.225376,0.066081,,0.03927,0.580042,0.756205,,0.578821,0.140122,,0.897138,2.027169,1.055894,0.178896,0.827243,1.449242,0.988974,0.453094,0.034511,0.769518,0.049929,,0.669285,0.377896,,1.164813,0.743914,0.528045,0.331369,0.157996,0.03923,0.106235,0.10811,,0.242693,0.351134,0.048363,,0.219753,0.704055,,0.700204,0.267462,0.638383,0.769864,0.046135,0.811279,1.519936,0.110185,0.489583,1.123831,1.655825,0.911871,0.662959,,0.753695,,0.767927,,,0.310269,0.158142,0.036087,,0.475595,0.519122,0.243806,0.376719,1.024695,0.359925,,0.601404,,1.11079,,0.465122,,0.4658,0.025449,0.723899,0.40315,,0.18856,0.160221,1.440866,0.703113,0.434912,0.109745,0.531124,4.057526,0.092126,1.876312,0.697813,3.62513,1.05085,0.311362,,0.057317,0.025643,0.325758,,0.823584,0.230111,0.416638,,,0.499699,0.364561,1.75024,0.050482,,0.234383,0.365732,0.447484,0.555449,
2019.0,0.636963,0.459509,,0.264163,0.058575,,0.042535,0.595238,0.737393,,0.641349,0.179684,,0.659943,1.923682,,0.184216,0.806277,1.507565,1.05789,0.560542,0.041006,0.833814,0.051977,,0.650663,0.433017,,1.223034,0.854375,0.582356,0.378159,0.170514,0.078213,0.123441,0.117694,,0.242406,0.368961,0.050093,,0.244737,0.781929,,0.734633,0.271646,0.753487,0.945481,0.053515,1.011491,,0.125902,0.493574,1.248916,1.78499,0.734978,0.73179,,0.81229,,0.788516,,,0.382793,0.142126,0.041318,,0.516958,0.523145,,0.397138,1.103342,0.384255,,0.708196,,1.309674,,0.50593,,,0.025981,0.777089,0.419948,,0.321766,,1.662864,0.787491,0.484144,0.074863,0.554098,5.213406,0.090212,2.185133,0.861118,3.26935,1.03772,0.383412,,0.079937,0.026405,0.311298,,0.937917,0.339875,0.521402,,,,0.416111,1.754155,0.052999,,,0.407068,,0.624651,
2020.0,0.860523,0.558189,,0.195758,0.0849,,0.050025,0.945087,1.072805,,0.869815,0.172604,,0.752816,2.235995,,0.214933,0.973522,1.568939,1.432086,0.516997,0.047974,0.967815,0.059217,,0.708963,0.626892,,1.325642,0.972637,0.575368,0.424604,0.206272,0.114381,0.155087,0.144666,,0.284306,0.484896,0.094843,,0.286486,0.893598,,0.857285,0.364529,0.961044,1.575531,0.071434,1.103377,,0.155752,0.655854,1.522994,2.12097,0.919424,0.844372,,0.947189,,0.974328,,,0.353112,0.145161,0.046493,,0.797831,0.699302,,0.509954,1.284531,0.468535,,0.852012,,1.697745,,0.564091,,,0.035077,0.918474,0.370706,,0.407316,,2.16105,1.228719,0.591779,0.084905,0.847336,6.337409,0.115255,2.485047,1.390575,3.283987,1.440844,0.299856,,0.111601,0.035445,0.338457,,1.245272,0.494689,0.446434,,,,0.54059,2.137664,0.063995,,,0.471275,,0.798634,
2021.0,0.732416,0.492615,,0.220943,0.087054,,0.055397,0.682039,0.844977,,0.726785,0.152516,,0.500345,1.655381,,0.21156,0.719224,1.232993,1.037325,0.377057,0.082654,0.815849,0.075648,,0.655419,0.537337,,1.043176,0.818972,0.460301,0.37432,0.18868,0.100443,0.162771,0.157037,,0.259678,0.425779,0.106914,,0.265896,0.728086,,0.818509,0.312556,0.740193,1.107621,0.10406,0.908848,,0.159737,0.670399,1.354593,1.75929,0.833121,0.737613,,0.753163,,0.740031,,,0.151997,0.125762,0.104816,,0.608208,0.546192,,0.401008,1.009077,0.361421,,0.635291,,1.304031,,0.490891,,,0.044368,0.852687,0.324093,,0.314199,,1.6373,0.931241,0.485481,0.110451,0.688363,6.19826,0.090039,2.080148,0.982951,2.982427,1.361925,0.227708,,0.093642,0.04616,0.293655,,0.923455,0.382799,0.426763,,,,0.427766,1.650731,0.094747,,,0.416991,,0.616263,
2022.0,0.631334,0.374869,,0.189245,0.077408,,0.046248,0.423375,0.709061,,0.56536,0.159177,,,1.193263,,0.183801,0.472345,1.188577,0.80141,0.400409,0.076508,0.59171,0.067497,,0.720467,0.469871,,0.951713,0.722841,0.369489,0.320961,0.160253,0.083769,0.136694,0.134513,,0.200178,0.363478,0.058454,,0.209321,0.670992,,0.655496,0.259172,0.577598,0.779587,0.08341,0.601829,,0.126805,,1.022046,1.309199,0.703969,0.573467,,0.578274,,0.565669,,,0.103917,0.097915,0.103867,,0.441318,0.484941,,0.329708,0.865067,0.320429,,0.393533,,1.172234,,0.390763,,,0.036875,0.67435,0.2636,,0.138307,,1.291905,0.700347,0.432753,0.092196,0.58101,4.780366,0.08489,2.096986,0.696506,2.424897,0.795123,0.157634,,0.090493,0.038008,0.282899,,0.717895,0.289568,0.375932,,,,0.515352,1.166331,0.080078,,,0.340806,,0.544408,
2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
