Unnamed: 0,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Belarus,Brazil,Canada,Switzerland,Chile,Colombia,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,Ireland,Iceland,Israel,Italy,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Netherlands,Norway,New Zealand,Pakistan,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),South Africa
2005.0,6.196512,11.56038,5.034545,7.272197,8.44185,11.45083,,,,6.75,3.763605,,11.82128,5.291667,7.941667,9.119307,,,15.3,5.755575,9.267732,,11.03416,8.966131,9.158333,8.025,8.787693,8.55,4.841667,10.02038,6.663618,5.708736,17.59167,6.775,4.633333,2.912352,,7.787296,4.423202,3.733333,,,7.7,4.808333,4.103193,10.0311,,3.4775,,37.24998,7.177866,11.43323,6.955206,4.808333,3.826852,7.69,9.558387,11.35,18.18333,8.302134,5.825,7.16063,7.691108,6.093714,3.125,24.63184,11.62583,10.14167,7.911618,1.825833,,9.25,4.126667,12.14167,5.083333,12.19567,,7.684998,24.63184
2006.0,5.747933,10.15066,4.77516,6.779983,8.259,9.6025,16.0,,,6.45,3.329346,,12.09886,4.558333,7.141667,8.079014,3.795757,,12.3,4.122685,8.77074,,10.70161,8.042768,8.441667,5.95,8.096037,8.5,5.416667,9.036374,6.179892,4.840284,16.53333,7.05,4.766667,3.189367,,6.867435,4.139495,3.475,,,6.5,3.458333,4.222977,7.009397,9.576951,3.526667,7.781694,36.02998,7.271746,10.52745,6.073976,3.591667,3.841961,6.2,8.544907,7.975,16.19167,8.352722,5.416667,7.070196,6.233233,6.295392,2.675,23.48725,10.3625,9.433333,7.14943,1.490833,,8.741667,3.904167,10.78333,4.608333,9.944667,,6.981543,23.48725
2007.0,5.505179,8.445448,4.373901,6.212382,7.48801,7.736667,5.6,,,6.158333,2.761496,,11.28753,3.941667,5.325,8.531125,3.59622,,13.8,3.780625,7.702859,,8.998381,7.324569,8.25,4.625,7.261974,7.7,5.333333,8.419361,5.780115,4.118428,14.74167,7.025,5.0,2.465312,,6.164603,3.838205,3.266667,,,6.0,3.175,4.183068,6.058362,9.768167,3.610833,7.199276,34.92755,6.46616,9.908084,5.299355,2.725,3.561369,5.2,8.391889,7.325,12.69167,8.708306,4.3,6.052405,5.288621,5.798668,2.1,22.88495,8.420833,7.725,6.223293,1.353333,,8.841667,3.91,9.4,4.616667,8.454346,,6.481236,22.88495
2008.0,5.913124,7.856475,4.23816,5.900164,6.964916,6.3025,3.7,,,6.308333,2.573752,,11.40321,3.658333,4.391667,7.410218,2.642212,,11.3,3.821656,7.61982,5.469826,8.707039,7.142305,11.26667,5.425,6.75951,7.1,5.708333,7.767315,6.018565,3.435872,13.03333,7.425,6.808333,3.43008,,6.787661,3.994579,3.166667,,,5.4,3.45,4.157452,7.790274,9.550735,3.8875,7.159123,33.7755,6.06382,9.094787,4.75447,2.891667,4.023854,5.2,8.377261,7.4,9.825,8.306925,3.983333,6.263403,5.222155,5.201662,2.275,22.4691,7.645,6.733333,6.278366,1.373333,,9.85,4.145833,7.925,5.8,7.340996,2.38,6.567981,22.4691
2009.0,8.136527,8.667094,5.565805,7.277309,7.986718,7.584167,4.0,,,8.458333,3.712967,,12.2432,5.391667,6.683333,7.221496,4.844057,,10.2,4.059837,9.730636,6.280609,9.393224,8.02529,17.88333,13.6,8.390664,8.775,7.608333,9.755765,8.140075,5.205974,14.54167,9.7,12.65,8.102822,,7.892777,5.067755,3.65,,,5.9,9.458333,5.478711,17.63713,9.104091,5.33,8.024449,32.17299,6.908398,9.142316,5.434037,3.475,5.887892,5.46,8.392998,7.475,10.96667,10.18815,6.283333,8.242752,5.508742,5.40163,3.0,23.66905,11.44,9.158333,8.447616,1.456667,,12.94167,5.850833,7.783333,9.283333,7.896865,2.9,8.045713,23.66905
2010.0,8.445001,7.745607,5.203839,6.924717,8.371834,9.474167,3.6,,,8.141667,3.515214,8.535105,12.01004,6.275,7.275,6.562063,6.072343,,10.0,3.888312,9.160519,5.792102,8.983811,7.811997,19.85833,16.7,8.534652,8.9,7.891667,12.97077,8.496076,4.416441,17.175,10.75,14.6,8.363089,,8.542089,5.048095,3.708333,,,4.9,14.48333,5.803438,19.43064,9.112497,5.273333,7.691713,32.04455,6.890459,8.92472,6.063175,3.908333,6.218633,5.55,7.848329,7.325,12.11667,11.50988,7.625,7.345431,5.477995,5.500834,2.175,24.84062,12.4725,10.76667,8.685768,1.035833,,11.05833,5.225833,7.025,9.608333,8.51256,2.91,8.065955,24.84062
2011.0,8.156336,7.154081,5.081351,6.724667,7.208788,9.595,4.0,,,7.616667,2.836459,7.373027,11.04388,7.916667,6.716667,5.505893,5.935718,,10.0,3.431192,8.130004,4.718403,11.99666,7.599703,21.40833,12.325,7.951281,8.85,8.1,18.10245,8.195235,3.466286,17.39167,10.675,15.40833,7.638425,,8.508712,4.582264,3.383333,,,4.2,11.70833,5.681366,16.16712,8.866676,5.170833,7.502865,31.37114,6.469863,10.3433,6.052811,3.6,6.015401,5.95,7.688374,7.05,12.38333,13.43262,5.383333,6.496534,5.756142,5.798776,2.025,24.78783,13.15167,11.875,7.868772,0.650833,,8.983333,4.389167,6.341667,8.933333,8.182989,2.22,7.820581,24.78783
2012.0,8.280284,7.214789,5.221221,6.980567,7.632008,11.08917,3.7,,,7.408333,2.906198,6.646525,10.63501,11.875,6.983333,5.078726,6.05246,,11.0,3.318076,7.507722,4.132457,12.66604,7.41336,24.8,9.975,7.821109,9.425,7.991667,24.82915,8.295215,3.298859,18.6,10.7,15.49167,6.601135,6.858333,10.89798,4.347791,3.2,,,4.0,11.71667,6.090497,15.0063,9.018303,4.9275,7.310473,30.99636,6.424192,10.83767,6.821322,3.483333,6.473376,5.95,6.771487,7.0,12.8,16.51281,5.066667,5.431218,5.733986,5.49866,1.95,24.88034,13.58,12.00833,8.082717,0.656667,17.34924,8.3,4.236667,6.325,8.075,7.801805,1.95,7.772148,24.88034
2013.0,8.233688,7.075862,5.665688,7.614785,8.554419,11.3125,4.3,,7.28973,7.175,3.15949,6.124038,9.886856,15.91667,6.975,4.944473,5.749049,,9.8,3.443012,7.740722,4.036144,13.31185,7.472802,26.10833,8.6,8.29246,9.95,7.591667,27.83035,8.270954,3.398098,19.81667,9.8,13.75833,5.845822,6.208333,12.37899,4.021583,3.116667,,,4.4,10.925,6.835033,11.84303,9.209637,4.9375,7.3677,28.99691,6.377405,10.84923,8.203115,3.925,5.850529,6.24,5.944035,7.075,13.525,17.09646,5.258333,5.491259,6.036172,5.598755,1.9,24.73059,14.1,13.125,8.110571,0.723333,15.84734,8.866667,4.175833,6.508333,7.358333,7.518473,2.17,7.784873,24.73059
2014.0,7.600231,7.268744,6.080306,8.365274,8.662283,11.16,3.8,,6.87524,7.033333,3.043085,6.424731,9.404163,16.15833,6.116667,4.703927,5.000078,,10.6,3.365173,7.572434,4.292532,13.15547,7.347059,24.45833,7.3,8.756546,9.9,6.2,26.64388,7.649427,3.237736,19.25833,7.5,11.89167,5.406357,5.883333,12.81468,3.587391,3.508333,6.546815,,4.3,9.475,7.089936,10.83119,9.704734,4.834167,7.289102,28.02374,5.856137,10.97928,8.345168,3.8,5.421686,6.0,5.935565,6.825,12.31667,14.51658,5.25,5.158908,5.81168,5.699692,1.95,25.10001,12.78167,13.09167,8.038355,0.839167,15.02076,9.891667,3.958333,6.625,6.158333,6.921237,2.1,7.453111,25.10001
2015.0,6.985437,6.607495,6.053268,9.102562,8.655587,10.05917,3.5,,8.443312,6.95,3.180614,6.394857,9.19842,14.93333,5.05,4.361998,4.559797,7.312995,11.2,3.274304,7.560355,4.351545,12.76615,7.483265,22.05833,6.175,9.462763,10.025,5.375,24.98719,7.024363,3.300041,17.03333,6.6,9.925,4.491504,5.25,11.98537,3.371507,3.6,7.050349,,4.7,8.716667,6.779999,9.875577,9.461084,4.345833,7.509442,26.04533,5.40627,10.88084,7.884821,4.658333,5.399282,5.9,6.491786,6.275,10.475,12.93557,5.125,5.576452,5.767068,5.60057,1.9,25.33596,11.49417,12.275,7.496101,0.8825,15.22162,10.31667,3.785833,7.525,5.275,6.809548,2.34,7.284724,25.33596
2016.0,6.510541,8.462682,5.710494,9.063627,7.850017,8.6875,4.3,,11.40305,7.033333,3.325184,6.640654,9.542227,13.0,3.95,3.90294,4.128882,7.064061,10.5,3.001373,7.336246,5.368565,12.5408,7.870831,19.63333,6.775,8.913038,9.75,4.891667,23.8687,6.530796,3.383033,14.94167,4.975,8.383333,3.344177,4.833333,11.74624,3.1132,3.683333,8.411185,,4.4,8.041667,6.3497,9.636589,9.711216,3.874167,7.982496,23.74381,4.677633,10.71728,6.986775,4.9,5.122697,,6.754335,5.45,8.925,11.41163,4.8,5.515465,,5.600135,2.075,26.70122,9.480833,11.18333,7.053754,0.986667,15.49943,10.88333,3.920833,7.875,4.875,7.284966,2.29,7.348341,26.70122
2017.0,5.903899,8.336801,5.589589,8.516285,7.096955,7.199167,4.1,5.672787,12.86437,6.408333,3.088151,6.936574,9.672328,11.1,2.9,3.565195,4.190787,5.516048,11.7,3.116992,6.853065,4.444072,11.79316,7.978883,17.23333,5.8,8.749223,9.1,4.383333,21.82437,5.927796,3.153166,12.425,4.075,6.758333,3.213279,4.225,11.25899,2.806549,3.691667,8.867988,,4.2,7.883333,5.91766,8.709342,10.2856,3.42,8.164718,22.3677,4.126251,10.77379,5.861787,4.35,4.722387,,6.903843,5.7,7.258333,9.141721,4.266667,5.18141,,5.999176,2.175,27.4101,7.060833,9.475,6.780522,1.1725,15.3525,10.93333,3.760833,7.916667,4.358333,7.183809,2.22,7.150777,27.4101
2018.0,5.352871,9.206218,5.29826,7.712439,5.958253,6.175,4.3,4.827333,12.37257,5.85,2.541655,7.339915,9.988776,8.4,2.241667,3.207842,3.847872,5.617196,11.7,2.934598,6.399104,4.101096,9.85836,7.646258,15.25,5.375,7.396365,8.725,4.075,19.7701,5.384912,2.815388,9.858333,3.6,5.783333,3.116583,3.991667,10.58074,2.441678,3.866667,8.7219,,4.4,8.491667,5.463262,7.396404,9.567828,3.321667,7.846317,20.71912,3.699962,9.84152,4.856223,4.033333,4.324328,5.8,6.629532,5.3,6.075,7.164778,3.558333,4.805589,5.644913,5.99481,2.125,27.08862,5.420833,8.25,6.43943,1.059167,15.45561,10.94167,3.709167,8.366667,3.891667,6.90874,2.19,6.722377,27.08862
2019.0,5.034019,9.797711,5.168454,7.353344,5.365522,5.650833,4.7,4.224708,12.04739,5.7,2.304618,7.227479,10.90101,7.075,2.033333,2.97716,3.670602,6.152437,,2.846582,6.764462,4.475521,7.860145,7.79076,14.10833,4.45,6.721755,8.175,3.833333,17.87279,5.057866,2.918967,7.741667,3.3,4.975,3.960974,3.816667,9.921438,2.349502,3.766667,8.774587,,4.8,8.391667,5.380284,6.309928,9.189027,3.49,8.042766,17.24769,3.525064,8.59025,4.426337,3.875,4.09917,6.9,6.548533,5.125,5.425,6.62054,3.05,4.606561,6.66737,5.691622,2.25,28.66983,5.001667,7.633333,6.924974,0.99,15.15981,13.73333,3.73,8.941667,3.683333,,2.17,6.673785,28.66983
2020.0,6.884966,11.52149,6.49161,9.99749,5.528344,7.359167,5.9,4.103209,13.51976,9.725,3.187201,10.53996,16.72148,7.591667,2.558333,3.630274,4.6131,5.813606,,,7.327738,7.996392,7.958502,9.304295,15.55,6.825,7.735524,7.85,4.55,17.63543,6.836273,5.522214,9.008333,4.15,5.833333,6.425183,4.291667,9.310216,2.775641,3.991667,10.99396,,5.5,12.55,6.349172,8.0924,11.94376,4.406667,9.58686,16.37385,4.368832,9.700749,4.849538,4.758333,4.607942,,14.19345,10.25,5.966667,6.94106,3.116667,5.777946,,7.386515,3.0,29.14366,6.789167,8.725,8.522441,,16.68817,13.15,3.849167,10.35,8.091667,,2.48,8.365311,29.14366
2021.0,5.818469,8.719637,5.090105,7.987093,6.2728,5.524167,,3.925141,13.47755,7.508333,2.984767,9.120701,13.75794,7.491667,2.816667,3.566855,3.601614,7.390515,,,6.60352,4.762666,7.402044,8.674568,14.79167,6.175,7.626402,7.675,4.508333,14.70697,5.861564,5.424378,8.091667,4.05,6.241667,5.909499,4.975,9.555152,2.817112,3.625,10.06974,,5.1,13.05,5.74862,7.563808,12.26204,4.141667,8.916476,15.42693,3.401844,9.431749,4.221737,4.433333,3.786347,6.3,10.71187,8.025,6.416667,6.555422,3.041667,4.835073,,6.892341,2.65,34.29974,7.480833,7.625,8.871631,,17.58142,12.00833,3.951667,9.358333,5.366667,,3.2,7.518473,34.29974
2022.0,4.641834,6.826762,3.695126,6.294567,5.578745,4.4975,,3.600036,9.497263,5.275,2.160574,7.813967,11.1942,6.791667,2.375,3.066806,2.578302,5.301057,,3.120963,5.631646,4.015566,7.249258,7.136482,12.93333,5.575,6.790976,7.1,3.7,12.15111,4.68875,4.33312,6.8,3.6,4.491667,3.783196,3.75,8.074652,2.599779,2.875,7.46932,,4.7,9.025,4.812379,6.846869,11.89993,3.275833,7.339994,14.37703,2.900383,8.681356,3.538257,3.233333,3.277941,,7.713246,5.45,5.4,6.024699,2.916667,3.950822,,4.769607,2.1,33.5126,6.314167,5.775,7.473797,1.333333,15.4842,10.48333,3.6675,7.875,3.641667,,2.34,6.121356,33.5126
2023.0,,,3.617229,6.379298,,5.218,,,,5.28,2.001476,,,,,,,,,,,,,,,,7.144338,,,,,2.975109,6.21,,4.34,3.396741,3.55,,,2.62,,,,8.62,5.142382,6.37394,,,,,,,3.555504,,,,6.676532,,5.19,,,,,,,,,,7.58687,,,,3.498,8.3,3.62,,,,
