Unnamed: 0,Argentina,Australia,Austria,Belgium,Bulgaria,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,Algeria,Spain,Estonia,Finland,France,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",Mexico,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,Singapore,Slovakia,Thailand,Turkey,"Taiwan, China",United States,Viet Nam
2013.0,1.172342,1.123188,1.012242,1.206258,2.006455,1.202406,1.081163,1.082445,1.166664,1.036643,1.030719,1.05656,1.173381,1.059304,1.116551,1.06002,1.055674,1.172498,0.971428,1.136271,0.915207,1.182356,1.155983,1.129268,1.513745,1.148175,1.051097,1.123657,1.110189,1.156219,1.040407,1.08488,1.112789,1.152841,1.035296,1.044095,1.218836,1.124666,1.00223,1.141633,0.876103,1.11753,1.107691,1.07829
2014.0,1.167395,1.083162,0.9953,1.206488,2.280084,1.178433,1.062436,1.071897,1.125724,0.996982,1.009253,1.044576,1.15279,1.034122,1.092689,1.038276,0.998672,1.195728,0.93526,1.115828,0.962647,1.177742,1.149216,1.095813,1.597822,1.104782,0.993118,1.080789,1.118095,1.124085,1.014552,1.069336,1.077384,1.135464,1.002362,1.019209,1.194062,1.079707,0.955061,1.12794,0.742099,1.071993,1.095777,1.058403
2015.0,1.036761,0.911783,0.81458,0.950671,0.757945,1.039779,0.983894,0.924933,0.977144,0.824464,0.821472,0.853491,0.951197,0.842484,0.878408,0.817761,0.791886,1.191944,0.769696,0.966489,0.828344,0.985627,0.909261,0.882364,1.439805,0.856387,0.776613,0.851738,1.079523,0.938111,0.805155,0.885013,0.886095,1.030901,0.951471,0.851939,1.014486,0.86977,0.775652,1.015031,0.497475,0.891182,0.984313,0.963963
2016.0,0.930114,0.872319,0.773028,1.032691,2.303163,0.947401,0.954961,0.868594,0.893026,0.795075,0.791957,0.81413,0.901698,0.81321,0.854978,0.78798,0.741253,1.169609,0.744479,0.927446,0.767771,0.9303,0.880881,0.84001,1.506055,0.796551,0.518281,0.794823,1.070223,0.892424,0.764987,0.860172,0.844796,1.000227,0.916516,0.806679,0.987608,0.819191,0.734534,0.987456,0.408067,0.850236,0.951549,0.894264
2017.0,0.972384,0.901744,0.813583,1.123739,-2.578897,0.988584,0.981659,0.90959,0.961512,0.841364,0.838948,0.86572,0.967477,0.869668,0.912334,0.862753,0.762094,1.186674,0.780145,0.971691,0.807147,1.028461,0.999092,0.91937,1.450186,0.856911,0.58683,0.868728,1.097955,0.912663,0.809342,0.890813,0.877326,1.055153,0.902766,0.857081,1.048931,0.867392,0.768395,1.041031,0.362523,0.913462,0.97915,0.903142
2018.0,1.016625,0.936304,0.869875,1.249452,-2.409617,1.053829,1.013508,0.959217,1.039562,0.897681,0.899671,0.916662,1.030336,0.95042,0.983612,0.9487,0.807692,1.210748,0.823447,0.997567,0.874138,1.168617,1.058345,1.008692,1.458287,0.935929,0.59594,0.948351,1.136836,0.991928,0.865778,0.958156,0.899676,1.125642,0.902653,0.923311,1.076175,0.930969,0.819213,1.10032,0.300552,0.978592,1.009796,0.913981
2019.0,0.962427,0.894066,0.82195,1.171065,-0.066828,1.012821,1.015347,0.9187,1.009991,0.85255,0.844995,0.880103,1.014882,0.90026,0.934145,0.893769,0.763725,1.226297,0.773936,1.0214,0.802354,1.091836,1.027183,0.958328,1.349953,0.897533,0.581064,0.903155,1.135956,0.962323,0.812066,0.93546,0.867226,1.10683,0.924521,0.885448,1.062782,0.911237,0.758027,1.102905,0.238611,0.940293,0.996955,0.911008
2020.0,0.930211,0.854468,0.814186,1.081319,1.525747,0.938971,1.014122,0.861881,0.957525,0.83408,0.823875,0.870265,1.013736,0.887261,0.904054,0.853585,0.782799,1.230674,0.750481,1.000694,0.778275,1.058855,1.024742,0.92778,1.327486,0.8213,0.561627,0.81555,1.12761,0.920574,0.783542,0.910204,0.843814,1.051073,0.91878,0.865214,1.038527,0.838382,0.743796,1.06319,0.182197,0.88586,0.972068,0.905298
2021.0,1.061983,0.956127,0.924166,1.444638,-6.247232,1.062346,1.127705,0.990623,1.166286,0.946303,0.967839,0.963635,1.166893,1.028374,1.052647,1.004388,0.932018,1.29298,0.850491,1.14238,0.867461,1.200249,1.208957,1.145971,1.41521,0.969652,0.605765,0.986616,1.257091,0.970195,0.909709,1.052273,0.94172,1.226201,1.016367,0.995257,1.125722,0.960092,0.849216,1.151653,0.179648,1.032449,1.058049,0.96737
2022.0,1.232515,1.049038,0.900757,1.701993,-7.607187,1.300228,1.233106,1.142381,1.2436,1.029311,1.087054,0.96403,1.280686,1.139793,1.170143,1.135817,1.028169,1.390204,0.91287,1.210704,0.824758,,1.287714,1.39219,1.510201,1.126759,0.635962,1.103855,1.425135,1.004938,1.010786,1.131262,1.033359,1.394228,1.068659,1.071586,,1.070427,0.91305,1.29794,0.122194,1.124398,1.14767,1.029292
2023.0,1.17383,1.005077,0.903897,1.551957,1.108431,1.204426,1.23115,1.082046,1.150893,1.029167,1.030115,0.981741,,1.149391,1.20277,1.098583,,1.433283,0.908942,1.128937,0.854383,,1.167936,1.307466,1.435797,1.015085,0.623215,1.004239,1.428714,0.968027,0.983404,1.085783,0.988928,1.305027,1.06063,1.046236,,1.03701,0.901574,1.3115,0.082142,1.040123,1.113582,
