Unnamed: 0,Advanced Economies,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members),South Africa
2007.0,8624609.0,69416.72,161344.7,401127.8,194763.2,444968.7,68724.39,1370006.0,126521.4,1379695.0,107893.3,1934446.0,671377.1,3356133.0,244211.8,11805.81,86923.02,782452.4,210571.6,8935387.0,370775.6,93032.22,124464.4,130090.7,53579.32,547848.5,6850.112,783578.9,355598.7,646935.7,1889.051,282823.8,3043465.0,6850.112,206042.6,523569.9,31207.63,52291.72,149022.1,337839.7,,309733.4,96523.38,,167951.1,181641.5,91483.12,225852.9,1889.051,1198452.0,11980741.0,94634.33
2008.0,8814193.0,68861.0,170118.3,405725.8,188121.2,411273.5,67531.12,1352816.0,132662.1,1383695.0,108601.2,1912456.0,693929.1,3349327.0,249418.6,11947.84,86526.91,838054.0,230796.2,9142636.0,375969.3,99032.5,125744.3,119338.3,46869.2,523184.9,6270.088,801556.3,388655.2,633870.8,2007.614,275414.2,3018875.0,6270.088,195749.0,539312.5,33943.26,47488.74,161880.2,342972.6,,323383.6,102800.5,,171451.5,190658.2,90043.81,229056.6,2007.614,1266532.0,12163519.0,100792.9
2009.0,7667621.0,61500.09,163070.3,418147.1,169152.4,359734.8,65446.6,1186270.0,114493.0,1154778.0,97059.43,1690250.0,718728.0,3080961.0,224560.5,9518.293,64900.24,690753.2,243190.9,7967622.0,323739.9,86030.85,131174.9,131838.9,45213.94,421586.7,5372.262,602130.2,391053.2,583852.1,2766.802,254151.5,2778193.0,5372.262,169803.2,489766.9,33601.48,40237.9,148524.3,333606.6,,288872.8,82758.48,56.88922,139097.3,162764.3,150566.2,204473.7,2766.802,1089584.0,10748582.0,79991.68
2010.0,8731564.0,69626.03,182398.0,411404.0,184267.5,387878.3,65810.05,1508985.0,136906.0,1327873.0,102882.2,2088182.0,797305.5,3628264.0,259458.0,12061.45,72120.0,733458.9,271657.8,9067243.0,380023.4,100800.3,152570.0,126583.0,50384.04,458033.7,6837.4,766497.3,468589.8,648280.3,2437.646,294381.9,3290149.0,6837.4,186924.5,557970.0,34194.84,50304.1,169067.8,367362.8,,348975.3,87659.1,68.3931,160336.2,189398.0,160074.6,258186.8,2437.646,1257819.0,12359829.0,85221.45
2011.0,9250537.0,71469.96,183325.1,402206.9,189833.1,410757.8,68679.14,1575002.0,153013.0,1436586.0,111031.2,2181930.0,811699.5,3760460.0,286091.2,15105.78,75154.57,803219.5,278804.3,9614558.0,389347.6,110903.2,170375.3,134565.5,51758.95,482075.5,6921.288,761053.8,534452.8,668312.4,2542.824,302228.1,3393896.0,6921.288,183329.6,579836.0,36102.0,47054.49,184438.3,357274.4,,371405.2,91596.63,74.5976,171129.3,206169.0,159083.6,269023.3,2542.824,1350519.0,13010997.0,89053.8
2012.0,9300358.0,67289.11,189002.4,407211.1,190123.6,422309.3,70064.71,1628996.0,158525.1,1455125.0,106227.2,2234358.0,839097.2,3866228.0,290907.7,15504.63,74833.9,754781.5,279202.7,9670390.0,387510.8,111744.1,161470.4,127036.0,49806.77,476955.2,6337.147,753003.2,549450.5,694362.6,3175.997,328715.7,3493020.0,6337.147,182697.3,590735.3,38169.46,50308.77,188224.0,357007.5,,373202.8,92072.97,83.89191,167200.8,210885.9,182121.7,268220.7,3175.997,1403522.0,13166586.0,88896.97
2013.0,9445790.0,64785.69,200482.0,406645.8,190116.4,432508.3,72793.51,1730032.0,161927.6,1456826.0,108528.5,2347261.0,863836.1,4016042.0,306279.3,15409.44,74906.72,771502.7,280862.1,9838331.0,394624.4,116650.2,161596.0,128090.5,48377.64,473888.9,6911.356,742821.9,569526.7,702515.1,3418.915,337908.8,3620082.0,6911.356,189970.1,603673.1,36910.73,54111.35,203097.8,366275.0,,387132.1,95518.23,88.2492,163908.0,211551.5,177813.0,278385.2,3418.915,1439395.0,13461832.0,92099.31
2014.0,9629694.0,59831.33,212033.4,410304.1,190591.2,455531.1,73941.09,1837083.0,178868.0,1508047.0,112113.6,2479118.0,912609.5,4228103.0,316959.8,15431.51,75530.67,708309.8,270400.4,10046714.0,398713.8,124955.0,168273.6,131368.3,48913.78,477788.2,7196.466,752263.1,596059.0,730576.8,3108.647,369654.0,3807973.0,7196.466,199815.1,620232.6,36559.14,60605.45,218124.4,368401.8,,397003.6,98602.26,92.57159,164581.3,213340.0,201128.2,292583.4,3108.647,1486565.0,13857796.0,95493.61
2015.0,9756812.0,58641.53,219096.6,433398.9,206843.7,471510.7,72585.73,1856821.0,194541.5,1585240.0,114987.9,2511452.0,1071620.0,4492215.0,327899.8,15487.27,73715.08,616967.5,301335.0,10197050.0,392123.3,134081.0,171850.5,146394.0,51793.71,483275.0,7012.264,768738.4,621475.7,800161.1,4262.914,424494.5,4047714.0,7012.264,211347.1,613660.5,37595.69,61785.4,233571.3,389881.7,,398252.3,101969.4,98.65963,170442.5,209647.4,314086.3,285878.8,4262.914,1470499.0,14249026.0,97706.46
2016.0,9934567.0,62838.43,233306.4,401103.6,213144.0,476269.7,72649.86,1839076.0,205836.1,1618253.0,118148.6,2494686.0,1190704.0,4632316.0,339982.6,16003.94,73352.02,636159.2,343911.6,10397501.0,395758.1,140490.8,161414.4,161652.5,51378.77,492213.1,7109.6,781708.9,619285.9,837470.5,5070.704,447271.4,4164311.0,7109.6,218348.3,637534.9,41566.81,64524.78,249792.8,407348.4,,399396.7,102345.0,103.6673,175658.7,211323.5,393072.1,290700.4,5070.704,1466849.0,14566883.0,97274.28
2017.0,10463338.0,62599.8,233826.5,400568.8,230589.3,482116.1,71389.9,1936602.0,219726.3,1689166.0,123124.2,2656125.0,1294202.0,4962566.0,367315.2,16393.91,80748.28,672764.5,385678.3,10948846.0,421169.3,148185.7,173775.1,172549.9,47403.81,509559.9,7220.154,833014.4,659111.8,867892.5,5704.581,458224.4,4472097.0,7220.154,242447.4,695409.5,45089.1,79406.67,265932.1,424781.6,,428888.1,105121.4,107.007,181879.3,223893.6,,316266.5,5704.581,1526550.0,15434573.0,99416.87
2018.0,10770156.0,62479.25,245852.6,401171.8,236306.0,488013.3,75691.29,2039700.0,228477.3,1718584.0,119004.5,2786093.0,1367713.0,5192396.0,366808.9,18007.23,81717.97,726195.9,373755.4,11285024.0,441154.2,152698.3,175822.3,197747.6,47060.61,506949.7,6956.118,854545.5,671140.1,895355.5,6364.191,474873.0,4671051.0,6956.118,255870.1,733499.7,46005.97,82918.55,286478.8,447371.7,,447719.7,107566.7,113.218,186254.9,231782.3,,326304.0,6364.191,1590078.0,15965721.0,101202.6
2019.0,10809532.0,69963.33,247067.7,397681.5,234566.0,501792.2,73825.35,2065944.0,236039.6,1724188.0,123378.4,2793065.0,1388346.0,5226365.0,370651.1,18055.24,83600.73,707974.8,398098.9,11343141.0,417863.8,161474.2,165316.9,213827.0,45288.13,506323.0,8356.21,838838.9,659096.3,905954.6,7739.371,481153.3,4682857.0,8356.21,251582.7,768913.2,46446.68,85217.22,298309.3,440139.4,,435897.6,105854.2,115.3928,189693.2,225004.0,,340464.3,7739.371,1584683.0,16038054.0,98114.84
2020.0,10113812.0,60751.62,236590.5,397451.9,238134.0,452367.5,75896.78,,226668.5,1576880.0,116845.3,2616927.0,1385061.0,,336821.8,18879.55,77963.67,588767.6,348256.8,10649431.0,413825.5,159601.7,175091.8,238014.0,42643.03,457572.4,8053.28,766593.4,663026.3,869790.1,8468.129,455824.8,,8053.28,255202.8,735212.7,39182.96,77284.27,300120.6,438071.5,,453718.9,100845.4,111.2374,186747.0,213517.2,,365955.1,8468.129,1412900.0,15314691.0,92377.27
2021.0,10968094.0,68825.32,233490.0,394901.6,244240.5,474080.9,75395.81,,237841.7,1706457.0,120620.2,3098326.0,1479146.0,,374962.1,21455.51,82442.72,645017.4,328458.7,11555983.0,497192.1,172405.6,210897.7,242406.0,45341.6,497308.9,8579.844,862494.3,709648.6,922120.4,6778.596,488797.1,,8579.844,291399.0,868356.5,44861.64,85896.67,340087.4,446286.4,,484638.1,110828.0,121.8755,193466.6,242508.4,,420335.2,6778.596,1527056.0,16831967.0,104049.4
2022.0,11174651.0,67209.42,230101.2,381004.8,257552.2,483260.8,74205.63,,241757.4,1720928.0,125491.9,3098387.0,,,390751.7,20279.47,78747.8,,400617.6,11782109.0,422877.8,183195.8,249496.4,293831.9,52275.2,505290.0,10924.51,876349.0,728155.1,974753.8,6754.815,529160.6,,10924.51,311131.0,916730.6,46625.98,89309.4,350512.8,,,483995.3,114789.0,121.9895,193821.5,245319.9,,433005.5,6754.815,1588842.0,17074700.0,108034.2
2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
