Unnamed: 0,United Arab Emirates,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Bosnia and Herzegovina,Brazil,Canada,Switzerland,Chile,China,Colombia,Czech Republic,Germany,Denmark,"Egypt, Arab Rep.",Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,Kenya,"Korea, Rep.",Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,North Macedonia,Malta,Malawi,Malaysia,Nigeria,Netherlands,Norway,New Zealand,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uganda,Ukraine,United States,"Venezuela, RB",Viet Nam,South Africa
2013.0,140.1489,169.7233,110.3695,87.86638,99.49884,92.13893,79.03537,80.16827,65.04357,110.7815,133.759,110.0166,76.92216,125.9237,77.16853,131.9455,134.394,53.88323,67.09534,158.3232,91.38454,99.45269,119.9002,43.73559,126.9818,105.6464,80.985,71.05252,156.7602,89.85271,123.2218,269.818,147.3822,105.9896,68.94753,79.94206,118.2051,49.38934,121.2579,103.0739,148.7367,130.4132,61.6583,127.693,78.10486,131.8083,57.58657,84.03012,64.77722,144.7337,153.914,101.2107,130.9858,132.4251,98.56248,133.1425,122.7326,230.8394,89.80815,66.60546,136.8114,98.38727,88.16642,121.1089,125.6608,74.40092,57.79412,138.4002,216.7151,82.46315,111.2398,107.098,147.8734,49.98948,143.2464,,85.69354,116.7306
2014.0,263.1936,343.9736,109.9799,86.04282,115.0566,120.3114,96.58291,75.66692,58.23241,118.6221,148.0155,89.8911,77.91077,113.6002,74.04881,151.4601,173.8438,72.21009,81.25408,153.2186,106.1649,110.6198,131.7508,50.37512,143.8164,108.5572,78.28506,65.80507,146.5118,107.5535,147.7988,253.2858,156.7337,121.1387,82.24002,79.81117,124.7886,47.88927,124.2988,110.2061,164.4282,148.9005,68.24495,129.0318,83.9309,128.2784,58.09966,84.84047,91.26972,147.1386,163.1029,112.3834,143.5132,146.8076,107.5822,164.1805,105.3792,231.4034,89.90379,70.75579,185.4933,115.2277,62.95364,153.117,124.6011,82.29308,71.11062,152.086,204.1216,80.39074,92.98906,116.4903,161.8152,44.26007,160.1912,,100.5182,122.2054
2015.0,219.1621,472.5222,93.21922,72.52466,111.5402,85.39854,91.81821,62.52533,39.60444,100.6205,146.8418,79.12898,126.9713,62.1633,62.87019,145.4277,181.0654,58.05098,68.76964,139.968,100.1083,103.5728,122.8234,26.81019,146.0026,113.8029,63.30007,64.03017,130.3587,113.5945,157.9049,191.5662,179.1843,122.2028,74.69087,74.11171,135.2824,31.92616,104.2259,126.5161,170.2277,132.6494,54.22413,117.6261,73.28702,111.0282,48.58912,82.56722,90.04976,116.7224,106.6385,108.0963,117.3098,133.3104,95.11168,168.7859,71.87237,247.2937,69.56383,50.85087,171.3401,103.215,28.53856,135.0274,113.9335,84.44746,57.61478,143.6675,194.6593,79.91185,80.77549,111.4816,150.8261,20.77796,167.9898,,97.24818,110.1394
2016.0,195.6308,616.5321,89.60355,68.32895,106.3788,85.12999,78.55283,50.62071,40.12143,94.99257,128.7118,78.89034,97.05083,50.67178,55.94544,134.6403,179.5502,39.69002,55.76593,158.9286,96.23343,95.29869,106.7394,20.9174,141.307,100.0209,64.24563,81.86314,133.9626,104.4545,155.6852,204.547,226.3292,111.9738,58.49919,72.15786,133.0041,24.89385,77.21732,122.88,141.8291,141.6177,47.28438,161.1867,74.23388,97.75275,52.58834,92.68,53.53767,105.0497,73.2856,101.9962,109.2491,149.158,86.67502,168.6221,75.85138,232.0511,53.75482,43.49886,148.5069,94.04098,27.12839,100.4424,99.32918,102.395,54.49033,134.8611,184.3359,73.80748,69.23661,106.7645,122.9416,12.11107,171.0216,,102.5906,94.5376
2017.0,207.0425,968.5658,101.1005,94.53688,121.9099,121.757,89.06664,41.3789,55.3773,107.2892,142.9711,101.4407,103.5187,,67.32765,168.181,201.4911,39.67518,67.02253,193.7333,113.4551,115.0333,116.3973,27.56812,163.9267,121.8124,71.74956,111.1472,151.8761,126.4495,175.7238,192.2276,249.026,122.569,72.37101,73.43,153.9811,42.4698,72.86841,124.7927,136.503,169.4292,55.41605,227.9377,92.43229,104.2928,68.75823,97.8105,66.49661,106.3284,64.7714,123.0509,136.0756,162.1864,81.94142,187.4068,99.73576,235.3248,72.58855,47.88801,136.5239,113.0859,37.11262,112.2078,114.3557,105.4815,61.89798,156.8565,216.3037,71.41745,73.426,131.7305,113.4546,13.95584,207.6346,4.89e-05,125.9401,110.7594
2018.0,174.0329,1296.936,102.7064,105.9474,124.2088,123.1794,90.1391,33.95961,58.52278,108.6825,143.8602,113.3458,96.33499,,77.8511,173.1558,214.9629,52.30187,65.8654,215.1149,122.7762,123.4375,120.9801,29.10773,177.7095,133.5374,70.32939,118.8969,151.7503,137.8298,179.4234,280.5656,240.7842,133.1423,77.22475,72.55747,172.8227,53.55016,71.58902,156.3509,124.9245,198.514,57.57428,264.8661,94.78011,98.50695,93.76196,97.14162,109.9549,115.7705,70.7425,133.7875,165.2781,174.6732,71.25334,142.457,116.1694,222.4558,74.48262,52.68328,138.1692,121.6014,36.66968,125.1053,120.2008,115.8984,69.29986,155.4991,242.222,82.19675,59.65997,138.85,133.8815,22.25398,239.1862,3.03e-05,161.7588,115.7001
2019.0,158.2754,1467.231,102.223,91.4797,113.5945,103.8163,100.5062,34.99636,66.22938,110.0882,154.9212,96.12138,90.92366,,71.37487,162.111,210.9402,43.266,59.24788,203.7296,112.3242,118.7097,114.0564,29.28495,182.6172,127.785,68.93661,121.298,157.7322,144.9835,160.7444,521.7383,245.6265,142.6257,72.6056,65.30665,169.9785,47.14946,57.7133,124.7834,104.3842,186.4673,42.44818,252.8975,87.30351,89.47269,111.2226,98.4582,112.3107,103.135,54.7254,130.6381,154.7621,189.4614,61.52026,93.85315,114.1072,230.8231,68.54914,47.51731,150.0038,117.5561,39.81469,134.0331,115.143,113.0417,67.58227,151.4228,240.0486,70.59732,47.33709,137.0896,114.3672,27.36684,251.913,,153.8613,104.7453
2020.0,131.646,1806.098,97.35689,74.12048,108.4123,85.20527,96.7024,41.65185,50.49913,107.2754,170.7178,67.49152,97.68379,,62.47995,168.5391,257.9594,35.96956,49.26803,201.3571,116.6645,112.579,100.4917,25.77832,194.4461,118.2633,62.94865,102.8595,128.2816,136.0507,166.689,2364.663,236.6381,142.9055,69.47602,55.23568,181.7943,45.59059,41.48657,136.4258,97.35118,206.9851,33.43851,268.2415,82.08207,73.89479,125.9241,84.7618,115.2419,94.34815,48.66373,133.3893,136.3403,204.5307,56.40711,85.3551,96.06634,193.8922,53.95471,42.37301,139.4148,120.3833,34.69087,122.4238,95.99359,115.1992,67.92931,173.2139,195.3276,69.87727,43.90455,161.2977,96.11775,24.52173,256.96,,140.8851,89.31641
2021.0,164.5867,2782.207,125.904,109.2057,134.2161,104.7588,108.416,42.76868,56.35189,141.4722,201.4313,78.38979,118.2942,,85.97028,214.8469,351.7101,,58.51868,297.8942,154.0799,146.4488,122.9817,33.83287,253.9493,126.6441,75.17429,134.8539,154.1186,193.3361,220.986,2659.705,375.6428,188.8839,89.92453,66.68763,224.5348,60.51456,38.30074,184.9969,139.225,267.8559,56.27512,318.8419,101.118,97.71552,160.4355,86.12452,130.5624,98.78784,67.32801,181.3983,194.2883,240.4334,59.77137,94.49582,98.56958,210.3009,65.83925,51.05111,159.3811,160.4408,42.90825,167.3723,112.8442,129.8581,90.9334,251.9646,224.5045,74.52343,46.86025,238.0961,100.8235,25.02997,324.7935,,209.4379,122.3979
2022.0,196.6644,4923.642,114.1886,91.17821,112.7139,103.9541,129.8053,34.56125,55.22905,138.9845,188.0968,76.95937,103.5542,,85.38817,175.3998,311.3687,,49.77349,281.0056,123.4099,129.2936,112.7503,30.40432,233.8921,94.51117,70.09314,101.0653,165.9862,195.9766,173.7547,2884.988,324.1161,203.4388,75.84624,83.17892,178.3509,53.23718,32.53625,135.5522,101.753,237.6391,50.3401,265.0516,,99.94702,156.6387,71.99213,155.4413,89.75559,78.06434,154.8037,194.4578,191.1235,66.88978,66.99073,105.6899,186.1043,48.10847,50.88455,185.1584,149.6052,34.35931,191.0293,114.5893,114.2471,83.31068,191.6574,211.8828,71.85227,47.7398,208.87,87.11058,21.09497,314.3062,,198.8495,117.2563
2023.0,216.97,17801.84,110.6684,93.49451,110.7045,117.9982,131.6281,33.46691,58.54913,133.001,193.9729,90.18079,97.33706,,94.01713,201.1292,359.6684,,57.02776,293.7473,117.7087,145.9884,115.1697,41.55783,242.3255,89.33609,81.79256,120.7328,158.9178,202.9571,207.5144,4100.533,268.1079,166.7269,90.39023,84.01699,185.2234,62.94897,24.87544,135.6569,98.74847,259.2137,49.231,302.5176,,119.5382,158.5364,73.6101,255.242,82.77271,68.89796,169.0723,180.9588,180.1114,73.00776,47.13729,112.9055,176.3591,54.73953,54.24232,151.0306,161.6615,23.75849,174.6573,117.2881,102.3302,89.56901,182.3204,201.9085,80.19541,71.86558,204.4958,71.11867,17.97256,323.3421,,171.6192,111.4221
