Unnamed: 0,Advanced Economies,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members),South Africa
2009.0,1.027275,0.906226,0.949401,0.89052,0.89614,0.89766,0.846315,1.009289,0.985161,0.969206,0.94834,1.024498,1.110311,1.206653,0.980471,0.950456,0.965721,0.973718,0.939206,1.066133,0.981922,0.955438,0.880646,0.923681,0.928371,0.960208,1.204135,0.967071,0.926097,1.086189,10.37054,0.901065,1.122576,93.57788,0.928126,0.952025,0.801067,0.953845,0.918518,0.886058,,0.936418,1.89136,0.972095,0.939832,0.935216,0.896167,0.94284,0.847524,0.968685,1.081808,0.892877
2010.0,1.058798,0.980247,1.162882,0.991209,1.081616,1.011205,1.082617,1.042132,0.971387,0.950958,0.936625,1.084451,1.235869,1.305557,0.949243,0.95893,0.959983,0.947659,0.979531,1.100048,1.025131,0.94016,1.031013,0.954087,1.01245,0.96941,1.028903,1.006508,0.993964,1.244133,9.041215,1.011421,1.222203,81.33075,1.065986,0.955773,1.044601,1.022802,0.947393,1.068033,,1.011772,2.304401,0.954179,0.987622,1.02102,0.954388,1.008591,0.889234,1.015932,1.133279,1.068172
2011.0,1.164005,1.160859,1.471634,1.185895,1.333415,1.124045,1.192516,1.200404,1.066123,1.030096,1.018131,1.243118,1.501105,1.525961,1.044998,1.104883,1.056378,1.037218,1.086323,1.210087,1.105336,1.004633,1.192598,0.966365,1.125801,1.089368,1.159634,1.082235,1.039693,1.478377,7.197783,1.157737,1.438724,95.65917,1.247955,1.064289,1.279642,1.028583,1.032266,1.441133,,1.121804,2.629936,1.060788,1.093152,1.079162,0.957982,1.081443,1.000525,1.097595,1.27025,1.222998
2012.0,1.124881,1.188934,1.360234,1.098043,1.267501,1.093647,1.118929,1.254018,0.991278,0.96733,1.000836,1.288179,1.453741,1.53091,0.985912,1.039202,0.979997,0.970639,1.069087,1.168303,1.146941,0.921285,1.178284,0.945689,1.085768,1.053783,1.250611,1.05788,0.997925,1.435576,4.370631,1.127315,1.454038,104.3234,1.247286,1.01306,1.24286,1.038541,0.980838,1.482233,,1.116312,2.547892,0.954874,1.033124,1.08609,0.865115,1.056921,0.892152,1.101433,1.244694,1.1235
2013.0,1.126233,1.171654,1.262869,1.149881,1.227511,1.075945,1.061221,1.277885,1.00265,0.993143,1.018739,1.30464,1.418916,1.520285,1.017164,1.060944,0.995813,0.997795,1.067451,1.170653,1.16161,0.927044,1.131446,0.925374,1.179891,1.098816,1.153326,0.966292,0.982991,1.402347,4.964808,1.123769,1.44114,91.90503,1.202354,1.031823,1.162454,1.049424,1.016012,1.424758,,1.084307,2.447879,0.966589,1.023258,1.080701,0.819756,1.030678,0.830884,1.096763,1.244132,1.044926
2014.0,1.118335,1.142521,1.135425,1.150739,1.162578,1.052547,1.019515,1.266422,0.979914,0.990918,0.988441,1.291662,1.324475,1.463921,1.006811,1.034471,0.985182,1.089151,1.070745,1.159795,1.18566,0.902439,1.050123,0.938212,1.181311,1.109874,1.168658,0.919619,0.961122,1.334828,4.914148,1.073608,1.390327,81.2765,1.171027,1.006051,1.082946,1.022696,1.021488,1.349492,,1.046142,2.21939,0.929023,1.000993,1.066767,0.704271,1.010595,0.878188,1.091188,1.223933,0.978332
2015.0,0.96587,0.969057,0.859753,0.916115,0.906362,0.870931,0.855688,1.231245,0.812127,0.835355,0.823479,1.231763,0.914848,1.239406,0.84634,0.830353,0.811655,0.909625,0.932013,0.995774,1.188027,0.748646,0.875679,0.8533,1.031615,0.94415,1.116351,0.813754,0.848085,1.074499,2.644428,0.896576,1.191672,58.00134,0.944368,0.818095,0.916487,0.952637,0.85923,0.880357,,0.898062,1.627042,0.761489,0.82156,1.023043,0.502959,0.920079,0.6378,1.02224,1.052003,0.828757
2016.0,0.940312,0.922285,0.821349,0.995907,0.845028,0.827505,0.835958,1.139398,0.79082,0.823818,0.802592,1.163785,0.786111,1.141769,0.828649,0.822815,0.782561,0.872928,0.8706,0.967953,1.165829,0.734226,0.899373,0.817609,1.016964,0.939124,1.058406,0.821639,0.799224,0.999986,2.19418,0.834931,1.093063,52.3306,0.868719,0.785177,0.886913,0.889477,0.8216,0.690867,,0.845415,1.537434,0.742494,0.793117,1.019872,0.429786,0.881306,0.576455,0.989437,1.004271,0.782557
2017.0,0.980822,0.937138,0.988882,1.073382,0.933186,0.879951,0.963145,1.165458,0.828552,0.855548,0.824962,1.202103,0.849526,1.195858,0.851895,0.886852,0.83522,0.899057,0.880649,1.01322,1.182143,0.766165,0.970779,0.805246,1.118293,1.004086,1.043014,0.839052,0.870531,1.084935,2.22607,0.894887,1.137365,60.64703,0.898416,0.82833,1.006087,0.864934,0.869867,0.828074,,0.870186,1.70529,0.778715,0.840426,1.056683,0.361977,0.920752,0.606738,1.013389,1.049336,0.894196
2018.0,1.032938,0.991062,1.046507,1.167046,0.982172,0.926712,0.989397,1.227537,0.886778,0.90545,0.91244,1.266975,0.948715,1.28634,0.917764,0.945545,0.919882,0.945838,0.945829,1.073428,1.204334,0.800471,1.023689,0.841878,1.145797,1.08546,1.118656,0.864426,0.901322,1.143328,,0.948784,1.213583,79.32127,0.972614,0.884363,1.069748,0.834349,0.924814,0.992621,,0.91936,1.785108,0.825413,0.891237,1.092862,0.289453,0.943223,0.572486,1.047571,1.11461,0.933847
2019.0,0.997852,0.930786,1.097766,1.123349,0.944962,0.894511,0.930385,1.210532,0.846603,0.862205,0.894174,1.261173,0.913572,1.259167,0.875258,0.891776,0.870755,0.902047,0.921187,1.033342,1.218816,0.756668,1.013815,0.801166,1.137705,1.066218,0.998426,0.841425,0.82283,1.123381,,0.957003,1.201251,59.96471,0.953999,0.836482,1.033554,0.830882,0.896405,0.956749,,0.896521,1.719093,0.779715,0.848257,1.096145,0.228436,0.893644,0.528457,1.038657,1.082173,0.914387
2020.0,0.984788,0.904856,1.057938,1.060192,0.88191,0.860324,0.974639,1.236334,0.846324,0.872636,0.919383,1.362074,0.82362,,0.885305,0.862684,0.838393,0.947806,0.900426,1.011918,1.223711,0.748991,0.932785,0.774936,1.109057,1.085961,0.986471,0.831861,0.771285,1.072216,,0.907392,,45.20514,0.91778,0.815376,1.071116,0.840996,0.90551,0.759234,,0.824893,1.725197,0.778641,0.831937,1.08795,0.183205,0.870297,0.527493,1.009782,1.058373,0.916846
2021.0,1.124268,1.131526,1.476178,1.388381,1.140906,1.071319,1.258104,1.368122,0.957109,0.955263,1.037431,1.48935,1.034545,,0.996696,1.002662,0.982672,1.08822,1.005288,1.162815,1.284759,0.819507,1.093378,0.808518,1.240586,1.233411,1.090493,0.875795,0.906423,1.287612,,1.010893,,65.69232,1.024992,0.934425,1.400025,0.868612,1.005958,1.110404,,0.942089,2.111655,0.860843,0.979308,1.12317,0.161793,0.978126,0.663932,1.150723,1.220267,1.176917
2022.0,1.205134,1.31573,1.78866,1.673385,1.296369,1.239214,1.327812,1.469213,1.001898,0.974286,1.043733,1.60748,,,1.048376,1.104074,1.093389,1.134816,1.055429,1.258302,1.377951,0.819476,1.170291,0.747868,1.272327,1.306943,1.170452,0.852733,0.93933,1.416649,,1.090518,,,1.131486,1.005929,1.423676,0.88455,1.044844,,,1.063855,2.120233,0.887106,1.019895,1.170324,0.093682,1.028268,0.642167,1.299496,1.327584,1.140931
2023.0,,1.194022,1.614823,1.439363,1.197688,1.129844,1.314757,1.366275,1.054878,1.000625,1.102125,,,,1.120701,1.15569,1.067098,,1.071379,,1.427025,0.86435,1.086821,0.757451,1.185534,1.408178,1.098405,0.829362,0.853119,,,1.174952,,,1.079421,1.008177,1.382827,0.889744,1.105465,,,1.008433,,0.925163,0.991267,1.181351,0.071041,0.964241,0.617406,1.230697,,1.03539
