Unnamed: 0,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Costa Rica,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",Mexico,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,Singapore,Slovakia,Togo,Thailand,Turkey,"Taiwan, China",Uganda,United States
1995M07,,0.646009,1.217793,0.888374,,,,,,1.051957,,0.998784,,1.413956,,,1.013728,,,0.921954,0.865304,,,1.685776,2.111956,0.853537,,0.995695,0.446648,0.833603,0.630047,0.951121,,,1.352166,,,1.182842,1.130882,1.424466,,1.081256
1995M08,,0.645405,1.068147,0.906283,,,,,,1.049281,,0.976092,,1.41172,,,1.017506,,,0.944947,0.867264,,,1.701844,2.130239,0.855188,,1.000881,0.441995,0.836655,0.593788,0.942375,,,1.349706,,,1.162169,1.133311,1.463923,,1.0793
1995M09,,0.644589,1.186904,0.904477,,,,,,1.046743,,1.003835,,1.405571,,,1.020153,,,0.935841,0.872446,,,1.70169,2.144945,0.859547,,0.997107,0.440973,0.841378,0.590374,0.927941,,,1.352026,,,1.182274,1.084239,1.483743,,1.080335
1995M10,,0.641328,1.199524,0.899763,,,,,,1.049437,,1.006285,,1.423932,,,1.01901,,,0.916377,0.891108,,,1.693203,2.140493,0.855352,,0.98555,0.44701,0.85469,0.595751,0.877192,,,1.363823,,,1.083963,1.13634,1.49868,,1.085678
1995M11,,0.641737,1.14802,0.906448,,,,,,1.048198,,0.994612,,1.428646,,,1.020315,,,0.923828,0.895091,,,1.684077,2.148761,0.868583,,0.959194,0.450735,0.857896,0.598889,0.875111,,,1.363565,,,1.112687,1.147011,1.497491,,1.08352
1995M12,,0.643611,1.10058,0.884577,,,,,,1.044382,,0.977959,,1.436376,,,1.019197,,,0.931502,0.894599,,,1.67648,2.133475,0.882399,,0.961606,0.455592,0.857636,0.600884,0.890301,,,1.36478,,,1.103859,1.037627,1.485604,,1.078196
1996M01,,0.649664,1.109465,0.879027,,,,,,1.040565,,0.964726,,1.42655,,,1.017826,,,0.943169,0.87876,1.00437,,1.655765,2.124621,0.864402,,0.944309,0.463984,0.849656,0.591847,0.969689,,,1.355313,,,1.107483,1.119544,1.503096,,1.081218
1996M02,,0.652414,1.115227,0.862009,,,,,,1.041793,,0.964584,,1.444028,,,1.020413,,,0.956081,0.877027,1.018582,,1.645939,2.13756,0.87321,,0.969007,0.469478,0.845942,0.58621,0.985998,,,1.355014,,,1.09876,1.120889,1.511066,,1.081294
1996M03,,0.654573,1.097708,0.877419,,,,,,1.039257,,0.980669,,1.442793,,,1.020512,,,0.934165,0.87882,1.011949,,1.640534,2.122346,0.910541,,0.976692,0.474383,0.842091,0.589174,0.984739,,,1.356546,,,1.088552,1.126375,1.496948,,1.073882
1996M04,,0.655722,1.138966,0.885646,,,,,,1.036738,,0.970172,,1.422419,,,1.027097,,,0.924041,0.892343,1.010086,,1.622311,2.077507,0.907308,,0.964425,0.476505,0.83352,0.610017,0.929564,,,1.360234,,,1.083822,1.099439,1.482458,,1.070558
1996M05,,0.657007,1.13252,0.885646,,,,,,1.037958,,1.007966,,1.428292,,,1.024516,,,0.951515,0.895743,1.009429,,1.59761,2.027867,0.881697,,1.004845,0.481813,0.832702,0.594169,0.923327,,,1.354464,,,1.085614,1.123822,1.498041,,1.082018
1996M06,,0.658026,1.14249,0.885563,,,,,,1.043022,,1.021099,,1.423413,,,1.029814,,,0.951515,0.896718,1.020885,,1.595307,2.009918,0.875209,,1.002677,0.488117,0.835101,0.57371,0.927759,,,1.356744,,,1.097432,1.149501,1.517617,,1.091766
1996M07,,0.659882,1.200251,0.917702,,,,,,1.044382,,1.004821,,1.399261,,,1.033852,,,0.936321,0.889912,1.037821,,1.584314,2.000137,0.872365,,0.997039,0.496296,0.850784,0.55799,0.978461,,,1.359878,,,1.104437,1.163014,1.530763,,1.087667
1996M08,,0.659558,1.034996,0.900403,,,,,,1.044448,,1.020543,,1.394854,,,1.031109,,,0.91183,0.890104,1.029605,,1.578003,1.979046,0.875125,,1.004275,0.503804,0.852133,0.552897,0.977991,,,1.344876,,,1.100835,1.178268,1.521075,,1.084515
1996M09,,0.658135,1.159844,0.88372,,,,,,1.038108,,0.991796,,1.379503,,,1.032502,,,0.931809,0.891886,1.027626,,1.57281,1.953262,0.886237,,1.005242,0.511559,0.849165,0.551986,0.961834,,,1.343655,,,1.090824,1.120379,1.534365,,1.064599
1996M10,,0.652128,1.169182,0.889618,,,,,,1.033079,,0.992027,,1.37736,,,1.032502,,,0.928815,0.897986,1.012744,,1.546081,1.954834,0.913514,,0.980234,0.524044,0.832764,0.581542,0.89245,,,1.342275,,,1.077775,1.102313,1.535514,,1.055306
1996M11,,0.651143,1.179973,0.912005,,,,,,1.030639,,1.005387,,1.38675,,,1.031251,,,0.923838,0.901203,1.017613,,1.508566,1.948517,0.909615,,0.957347,0.528898,0.828226,0.562948,0.878914,,,1.318169,,,1.070884,1.105215,1.54157,,1.053288
1996M12,,0.65168,1.058816,0.893239,,,,,,1.02448,,0.972985,,1.380902,,,1.029997,,,0.923671,0.904146,1.007727,,1.501466,1.925673,0.908771,,0.956974,0.530726,0.826256,0.585005,0.879633,,,1.329101,,,1.073208,1.093615,1.534113,,1.050206
